film_id,decade,file_path,start,end,text_clean,text_raw
1957-pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/1957 Pyaasa.srt,"00:00:12,216","00:00:18,950",THE THIRSTY ONE,THE THIRSTY ONE
1957-pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/1957 Pyaasa.srt,"00:02:16,217","00:02:19,660",These smiling flowers,These smiling flowers
1957-pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/1957 Pyaasa.srt,"00:02:21,431","00:02:25,163",These fragrant gardens,These fragrant gardens
1957-pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/1957 Pyaasa.srt,"00:02:27,415","00:02:36,204",These paths dipped in color and light,These paths dipped in color and light
1957-pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/1957 Pyaasa.srt,"00:02:38,079","00:02:48,019",These paths dipped in color and light,These paths dipped in color and light
1957-pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/1957 Pyaasa.srt,"00:02:58,242","00:03:06,840","Drinking the nectar of flowers, the bees sway","Drinking the nectar of flowers, the bees sway"
1957-pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/1957 Pyaasa.srt,"00:03:07,837","00:03:15,744","Drinking the nectar of flowers, the bees sway","Drinking the nectar of flowers, the bees sway"
1957-pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/1957 Pyaasa.srt,"00:03:22,213","00:03:31,591","What can I give to you, O splendid nature?","What can I give to you, O splendid nature?"
1957-pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/1957 Pyaasa.srt,"00:03:32,858","00:03:40,796","All that I have is a few tears, a few sighs","All that I have is a few tears, a few sighs"
1957-pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/1957 Pyaasa.srt,"00:03:40,877","00:03:43,631",I told you to keep the papers in order.,I told you to keep the papers in order.
