film_id,decade,file_path,start,end,text_clean,text_raw
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:00:00,000","00:00:00,000",25 FPS,25 FPS
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:00:00,001","00:00:03,000","www.calorifix.net Mangala, daughter of India","www.calorifix.net
Mangala, daughter of India (v.01)"
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:00:03,001","00:00:06,000",Contribution: pbox67 Correction: Úlairi,"Contribution: pbox67
Correction: Úlairi"
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:00:03,407","00:00:08,686",Here the farmer who tills the land in peacetime,"Here the farmer who tills the land
in peacetime"
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:00:09,087","00:00:12,921",and? splits the country in times of war.,and? splits the country in times of war.
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:03:01,207","00:03:02,686",Chandan Ay!,Chandan Ay!
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:03:32,607","00:03:34,882",- O? is my? p? e? - Why are you a,"- O? is my? p? e?
- Why are you a"
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:03:35,007","00:03:37,840","if sooner the morning, sir?","if sooner the morning, sir?"
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:03:38,327","00:03:41,763",Our king hand treatment ? the eye abroad.,"Our king hand treatment
? the eye abroad."
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:03:41,927","00:03:44,395",We must all pray for him. Grandma? Re!,"We must all pray for him.
Grandma? Re!"
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:03:44,527","00:03:46,518",I am coming! I am coming!,I am coming! I am coming!
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:03:52,207","00:03:53,799","? Listen, Chandan.","? Listen, Chandan."
aan-1952-dvdrip-x264-ac3-english-esubs-by-juleyan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Aan (1952) DvDrip x264.AC3.English.ESubs.BY.juleyan.srt,"00:03:54,007","00:03:56,840","If you always causes me concern, I'll beat you.","If you always causes me concern,
I'll beat you."
