film_id,decade,file_path,start,end,text_clean,text_raw
awara-1951-hindi-dvdrip-h264-mp4-kash61-eng,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/AWARA(1951)(HINDI)-DvdRip h264 mp4 KaSh61-eng.srt,"00:04:09,900","00:04:12,000","headlines for the front page. - Oh, drop it!","headlines for the front page.
- Oh, drop it!"
awara-1951-hindi-dvdrip-h264-mp4-kash61-eng,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/AWARA(1951)(HINDI)-DvdRip h264 mp4 KaSh61-eng.srt,"00:04:12,200","00:04:13,800",Here comes Judge Raghunath,Here comes Judge Raghunath
awara-1951-hindi-dvdrip-h264-mp4-kash61-eng,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/AWARA(1951)(HINDI)-DvdRip h264 mp4 KaSh61-eng.srt,"00:04:28,300","00:04:32,600",Such a gentleman! Why on earth did that goon want to kill him?,"Such a gentleman! Why on earth
did that goon want to kill him?"
awara-1951-hindi-dvdrip-h264-mp4-kash61-eng,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/AWARA(1951)(HINDI)-DvdRip h264 mp4 KaSh61-eng.srt,"00:04:32,800","00:04:34,500",Here comes your friend,Here comes your friend
awara-1951-hindi-dvdrip-h264-mp4-kash61-eng,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/AWARA(1951)(HINDI)-DvdRip h264 mp4 KaSh61-eng.srt,"00:05:08,300","00:05:09,700",ls the jury in place?,ls the jury in place?
awara-1951-hindi-dvdrip-h264-mp4-kash61-eng,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/AWARA(1951)(HINDI)-DvdRip h264 mp4 KaSh61-eng.srt,"00:05:10,000","00:05:11,500","Yes, my Lord. Present","Yes, my Lord. Present"
awara-1951-hindi-dvdrip-h264-mp4-kash61-eng,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/AWARA(1951)(HINDI)-DvdRip h264 mp4 KaSh61-eng.srt,"00:05:12,000","00:05:14,200","ls the accused present? - Present, my Lord","ls the accused present?
- Present, my Lord"
awara-1951-hindi-dvdrip-h264-mp4-kash61-eng,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/AWARA(1951)(HINDI)-DvdRip h264 mp4 KaSh61-eng.srt,"00:05:14,500","00:05:16,200",Who is the counsel for the accused?,Who is the counsel for the accused?
awara-1951-hindi-dvdrip-h264-mp4-kash61-eng,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/AWARA(1951)(HINDI)-DvdRip h264 mp4 KaSh61-eng.srt,"00:05:23,400","00:05:25,100",Who is the counsel for the accused?,Who is the counsel for the accused?
awara-1951-hindi-dvdrip-h264-mp4-kash61-eng,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/AWARA(1951)(HINDI)-DvdRip h264 mp4 KaSh61-eng.srt,"00:05:29,900","00:05:32,100",Have you no lawyer to defend your case?,"Have you no lawyer
to defend your case?"
