film_id,decade,file_path,start,end,text_clean,text_raw
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:03:30,250","00:03:32,718",Long live Mian Tansen!,Long live Mian Tansen!
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:03:37,924","00:03:39,892",Long live the maestro!,Long live the maestro!
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:03:48,034","00:03:50,002",Disperse,Disperse
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:04:10,890","00:04:14,018",Tell the guards at the door there must be no disturbance,"Tell the guards at the door
there must be no disturbance"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:04:17,063","00:04:23,366","Tell the constable, there must be no music playing around the palace","Tell the constable, there must be
no music playing around the palace"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:04:23,903","00:04:25,871",l need complete silence,l need complete silence
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:04:50,797","00:04:54,062","Wonderful maestro, wonderful! l could die to hear that tune","Wonderful maestro, wonderful!
l could die to hear that tune"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:05:19,225","00:05:25,027",Sounds like thundering clouds. - Thunderous rainclouds!,"Sounds like thundering clouds.
- Thunderous rainclouds!"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:05:30,069","00:05:32,196",Wonderful modulation!,Wonderful modulation!
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:05:42,015","00:05:48,045","Wonderful! Maestro, you are our Tansen! There's music even in the way you cough","Wonderful! Maestro, you are our Tansen!
There's music even in the way you cough"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:05:48,588","00:05:50,556",Bless you,Bless you
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:05:51,090","00:05:52,785","Go on, maestro!","Go on, maestro!"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:06:10,376","00:06:14,836",Stop singing! - Why should l stop?,"Stop singing!
- Why should l stop?"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:06:15,381","00:06:20,512","l have my admirers too. - lf you want to sing, go elsewhere","l have my admirers too.
- lf you want to sing, go elsewhere"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:06:20,887","00:06:25,688",You are not to create any disturbance. - Not even breathe?,"You are not to create any disturbance.
- Not even breathe?"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:06:25,992","00:06:31,862","Mind your tongue! The court musician Mian Tansen, is scoring a new Raga","Mind your tongue! The court musician
Mian Tansen, is scoring a new Raga"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:06:32,231","00:06:35,689",You will not scream into his ears. - l know all about scoring music!,"You will not scream into his ears.
- l know all about scoring music!"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:06:36,235","00:06:39,363","Take the Raga Todi, change a few notes and he creates music! Mian's Todi","Take the Raga Todi, change a few notes
and he creates music! Mian's Todi"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:06:39,639","00:06:42,540","Twist Raga Malhar, and he scores Mian's Malhar!","Twist Raga Malhar, and he scores
Mian's Malhar!"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:06:42,909","00:06:47,141",Now he's adding a twist to Raga Kanara to create Darbari Kanara. Get lost!,"Now he's adding a twist to Raga Kanara
to create Darbari Kanara. Get lost!"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:06:47,246","00:06:51,876","Silence! Create trouble, and you will be forbidden to sing in this area!","Silence! Create trouble, and you will
be forbidden to sing in this area!"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:06:58,257","00:07:02,660",Here come the bards. Let's see you stop them!,"Here come the bards.
Let's see you stop them!"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:08:06,759","00:08:09,660",Stop! Singing isn't allowed here,Stop! Singing isn't allowed here
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:08:11,030","00:08:16,991",This isn't a song. This is a prayer. - Whatever! Mian Tansen is scoring music,"This isn't a song. This is a prayer.
- Whatever! Mian Tansen is scoring music"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:08:17,437","00:08:20,668",Singing in this area is forbidden. By his orders!,"Singing in this area is forbidden.
By his orders!"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:08:21,441","00:08:27,676",Music is the essence of life. Never can there be any restrictions,"Music is the essence of life.
Never can there be any restrictions"
baiju-bawra-1952-phantom-dax-desibbrg-com,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Baiju Bawra 1952 ~ Phantom.DaX@desibbrg.com.srt,"00:08:43,896","00:08:48,697",What are you staring at? Stop them!,"What are you staring at?
Stop them!"
