film_id,decade,file_path,start,end,text_clean,text_raw
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:02:26,527","00:02:28,495",THE MONSOONS,THE MONSOONS
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:04:35,722","00:04:39,488",You're enjoying the music and I'm struggIing with this,"You're enjoying the music
and I'm struggIing with this"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:04:40,794","00:04:43,092",Some musician ! There's a sIope.,"Some musician !
There's a sIope."
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:04:43,330","00:04:44,558","Push the car, quickIy","Push the car, quickIy"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:04:57,778","00:04:59,040",Quick ! Rush !,Quick ! Rush !
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:04:59,246","00:05:01,214",The sIope is nearing,The sIope is nearing
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:05:28,108","00:05:34,513",''In the breeze fIies my red musIin veiI'',"''In the breeze
fIies my red musIin veiI''"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:05:37,217","00:05:43,520","''See how it fIies in the breeze, my red musIin veiI''","''See how it fIies in the
breeze, my red musIin veiI''"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:05:55,335","00:06:01,365",''My heart beats to the rhythm of the wind'',"''My heart beats to the
rhythm of the wind''"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:06:11,151","00:06:17,556","''As the wind bIew, it Iifted the veiI to reveaI my face''","''As the wind bIew, it Iifted
the veiI to reveaI my face''"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:06:45,452","00:06:52,221","''In the stream, the coId water cascades''","''In the stream,
the coId water cascades''"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:07:02,202","00:07:08,266",''I waIk gracefuIIy to the beat of my ankIets'',"''I waIk gracefuIIy
to the beat of my ankIets''"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:07:39,840","00:07:41,637",What are you doing ?,What are you doing ?
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:07:42,509","00:07:45,637",Must you throw away a young girI's veiI !,"Must you throw away a
young girI's veiI !"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:07:46,913","00:07:49,006",Give it to her yourseIf,Give it to her yourseIf
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:07:49,516","00:07:51,711","With aII these beauties, suppose it beIongs to an ugIy girI","With aII these beauties,
suppose it beIongs to an ugIy girI"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:07:52,652","00:07:54,620",You shouId be abIe to judge,You shouId be abIe to judge
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:07:54,855","00:07:57,085",Some peopIe can judge a book by its cover,"Some peopIe can judge
a book by its cover"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:07:57,324","00:08:00,623",I'II return it and come back.,I'II return it and come back.
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:08:14,274","00:08:15,969",Is this your veiI ? - Yes.,"Is this your veiI ?
- Yes."
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:08:19,546","00:08:20,513",Your fieIds ?,Your fieIds ?
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:08:22,682","00:08:27,517",What is your name ? I'm asking you what is your name ?,"What is your name ?
I'm asking you what is your name ?"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:08:27,721","00:08:28,517",Why ?,Why ?
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:08:29,556","00:08:32,525",Because I've a reason for asking,"Because I've a reason
for asking"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:08:35,562","00:08:36,995",You're Iike Iightning,You're Iike Iightning
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:09:01,088","00:09:05,320",Must you caII your whoIe famiIy ? I want to taIk to you,"Must you caII your whoIe
famiIy ? I want to taIk to you"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:09:05,792","00:09:07,419","I'II go, if you want me to","I'II go, if you want me to"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:09:17,204","00:09:18,569","Come on, hurry","Come on, hurry"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:09:20,006","00:09:22,975","What happened ? - Something wiII, hurry up !","What happened ?
- Something wiII, hurry up !"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:09:24,411","00:09:25,708",What did happen ?,What did happen ?
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:09:26,113","00:09:29,913","Stop your acting, the butcher's chasing us. Quick, Iet's go","Stop your acting, the butcher's
chasing us. Quick, Iet's go"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:09:30,417","00:09:31,975","Your car is giving troubIe, too","Your car is giving troubIe, too"
barsaat,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Barsaat.srt,"00:09:36,022","00:09:37,785",Hurry ! He's coming.,Hurry ! He's coming.
