film_id,decade,file_path,start,end,text_clean,text_raw
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:03:02,682","00:03:05,276",How far is it? - We're almost there,"How far is it?
- We're almost there"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:03:05,585","00:03:08,611","l'm a greater hurry than you are. This is social-service, for you","l'm a greater hurry than you are.
This is social-service, for you"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:03:09,055","00:03:11,455",Cholera has spread in the city. l must see you off...,"Cholera has spread in the city.
l must see you off..."
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:03:11,724","00:03:14,022",and take the first train to Jalgaon,and take the first train to Jalgaon
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:03:18,598","00:03:21,465",Where is Kamla Devi's house? - Over there,"Where is Kamla Devi's house?
- Over there"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:03:22,335","00:03:23,700",Kamla Devi!,Kamla Devi!
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:03:32,445","00:03:34,310",Kamla Devi...,Kamla Devi...
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:03:41,354","00:03:42,719","Sit down, children","Sit down, children"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:03:43,089","00:03:45,489",She must've gone out to fetch water. She'll be back soon,"She must've gone out to fetch water.
She'll be back soon"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:03:57,770","00:04:00,136","l can't wait, children. l must leave now","l can't wait, children.
l must leave now"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:04:00,540","00:04:02,508",Here you are... give it to the lady,"Here you are...
give it to the lady"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:04:02,809","00:04:05,141",l've written everything in it. And don't start crying,"l've written everything in it.
And don't start crying"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:04:05,878","00:04:09,746",Oh yes... do eat something,Oh yes... do eat something
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:04:50,923","00:04:52,754",Who are you children?,Who are you children?
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:04:57,497","00:05:00,728",''The children's father was deported last week'',"''The children's father
was deported last week''"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:04,070","00:05:09,167",''Their mother died of cholera. So l leave them with you'',"''Their mother died of cholera.
So l leave them with you''"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:13,046","00:05:15,412",Your aunt will be back soon,Your aunt will be back soon
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:16,449","00:05:18,417",Will you have something to eat?,Will you have something to eat?
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:18,851","00:05:24,221",Well? Whose children are you feeding?,Well? Whose children are you feeding?
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:24,924","00:05:27,825","They're now your children, Kamla. - My children?","They're now your children, Kamla.
- My children?"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:36,869","00:05:38,996",Look what a sweet child he is,Look what a sweet child he is
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:39,472","00:05:41,702",He'll be of great help to you when he grows up,"He'll be of great help to you
when he grows up"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:42,075","00:05:45,636","Treat them like your own, okay? - Why not?","Treat them like your own, okay?
- Why not?"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:47,146","00:05:51,776","They're my brother-in-law's kids. - Well said, Kamla","They're my brother-in-law's kids.
- Well said, Kamla"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:52,485","00:05:54,715",How come? - The children are here. That's why,"How come?
- The children are here. That's why"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:54,921","00:05:58,448",Oh no. l'm happy because his father has been deported!,"Oh no. l'm happy because his
father has been deported!"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:05:59,092","00:06:02,186",l'm happy because his mother has died of cholera!,"l'm happy because his mother
has died of cholera!"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:02,595","00:06:06,190",What l regret is that she didn't take them away with herself,"What l regret is that she didn't
take them away with herself"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:06,733","00:06:09,031","Kamla, what are you saying? - Right too","Kamla, what are you saying?
- Right too"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:09,502","00:06:13,461","When my husband died, their father threw me out to suffer in penury","When my husband died, their father
threw me out to suffer in penury"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:13,973","00:06:16,464",And they come to my doorstep today? This is good indeed,"And they come to my doorstep today?
This is good indeed"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:17,510","00:06:20,035","No, Kamla. Don't say that","No, Kamla. Don't say that"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:20,513","00:06:23,175",You must've seen a nice soul's face today,"You must've seen
a nice soul's face today"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:23,549","00:06:27,485",lt was your face l saw this morning. - But l'm not a bad man,"lt was your face l saw this morning.
- But l'm not a bad man"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:27,854","00:06:31,221","Oh yes, you're an angel! A bloody bootlegger!","Oh yes, you're an angel!
A bloody bootlegger!"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:31,891","00:06:33,859",And you're the goddess who sells her modesty?,"And you're the goddess
who sells her modesty?"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:34,193","00:06:37,492","Kamla, don't make me lose my temper. - Go away!","Kamla, don't make me lose my temper.
- Go away!"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:37,864","00:06:42,096","God has been kind to you, Kamla. He has given you two little children","God has been kind to you, Kamla.
He has given you two little children"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:42,535","00:06:44,901",Be a good woman and make good human beings out of them,"Be a good woman and make
good human beings out of them"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:45,271","00:06:48,502",Not like the folks you and l are. - They'll see what l make out of them!,"Not like the folks you and l are.
- They'll see what l make out of them!"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:50,543","00:06:53,512",Won't you go away? - l'm going,"Won't you go away?
- l'm going"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:55,548","00:06:58,517","Listen, Kamla. Don't you hit them","Listen, Kamla.
Don't you hit them"
bootpolish,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/BootPolish.srt,"00:06:58,751","00:07:01,845","Get lost, l say! Don't hit them, he says!","Get lost, l say!
Don't hit them, he says!"
