film_id,decade,file_path,start,end,text_clean,text_raw
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:02:46,440","00:02:50,040",You want to be paid but not do your job.,"You want to be paid
but not do your job."
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:02:51,040","00:02:52,720",You fear girls? Silly coward!,You fear girls? Silly coward!
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:02:54,040","00:02:56,040",Open the door.,Open the door.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:02:57,560","00:02:59,040",Open the door.,Open the door.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:07,720","00:03:10,080","''Watchman, open the door.''","''Watchman, open the door.''"
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:16,080","00:03:17,560",Where are you running off?,Where are you running off?
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:20,080","00:03:22,080",Will you utter a word?,Will you utter a word?
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:23,760","00:03:25,080",l had gone to feed your daughter.,l had gone to feed your daughter.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:26,080","00:03:27,760",l didn't run away in the German war.,l didn't run away in the German war.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:28,080","00:03:29,760",But l must run from here.,But l must run from here.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:30,080","00:03:32,360",You're giving warriors a bad name.,You're giving warriors a bad name.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:33,040","00:03:34,680",- Get some more food. - As you order.,"- Get some more food.
- As you order."
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:41,680","00:03:43,040",Daddy?,Daddy?
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:44,040","00:03:46,040",The starvation continues?,The starvation continues?
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:47,040","00:03:48,640",What happened to this room?,What happened to this room?
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:49,040","00:03:50,640",A typhoon hit it?,A typhoon hit it?
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:51,040","00:03:52,720",Not yet but it will now.,Not yet but it will now.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:54,040","00:03:55,520",How are you?,How are you?
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:56,040","00:03:58,520",Why don't you put me in chains instead of locking me up?,"Why don't you put me in
chains instead of locking me up?"
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:03:59,040","00:04:01,040",l'll do it if need be.,l'll do it if need be.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:02,040","00:04:05,040",You may tie me or do as you wish..,You may tie me or do as you wish..
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:05,720","00:04:09,040",But l won't eat as long as you keep me on this boat.,"But l won't eat as long
as you keep me on this boat."
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:10,080","00:04:13,040",Don't act like a kid. Now you're a grown girl.,"Don't act like a kid.
Now you're a grown girl."
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:13,800","00:04:18,080",And you know finally my will shall prevail.,"And you know finally
my will shall prevail."
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:19,080","00:04:21,080",Why don't you understand?,Why don't you understand?
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:22,080","00:04:23,560",This concerns my life.,This concerns my life.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:24,480","00:04:26,080",Why should you object to my marriage?,Why should you object to my marriage?
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:26,680","00:04:31,000",l object to your choice of groom... but not to getting married.,"l object to your choice of
groom... but not to getting married."
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:31,600","00:04:34,680",l won't get married if l can't marry Suman!,"l won't get married if
l can't marry Suman!"
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:35,000","00:04:36,480",l'll see to that.,l'll see to that.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:37,040","00:04:38,480",Come in.,Come in.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:42,040","00:04:43,440",You're back?,You're back?
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:44,360","00:04:46,360",Come in and keep the food there.,Come in and keep the food there.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:46,520","00:04:48,440",- l won't eat! - Who asked you to?,"- l won't eat!
- Who asked you to?"
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:04:49,040","00:04:51,360","''l'll eat. Khan, lay the meal.''","''l'll eat. Khan, lay the meal.''"
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:05:08,040","00:05:09,520",l'm so hungry.,l'm so hungry.
chori-chori,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Chori Chori.srt,"00:05:10,040","00:05:12,800",l feel l haven't eaten for 2 days.,l feel l haven't eaten for 2 days.
