film_id,decade,file_path,start,end,text_clean,text_raw
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:02:40,060","00:02:44,372","""A hot, sultry day in May...""","""A hot, sultry day in May..."""
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:02:55,909","00:02:59,254",Se; 2151%,Se; 2151%
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:02:59,646","00:03:02,855",84 12 __ __ 34 XX 66,"84
12
__ __
34
XX
66"
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:03:13,927","00:03:16,874",We'll eat raw mangoes. - That's why I've brought salt!,"We'll eat raw mangoes.
- That's why I've brought salt!"
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:03:22,135","00:03:25,878",8X5=30 8X8=38,"<i>8X5=30
8X8=38</i>"
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:03:39,052","00:03:42,499","""Devdas is running away, sir. - Devdas! Where are you going?""","""Devdas is running away, sir.
- Devdas! Where are you going?"""
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:03:42,956","00:03:46,233","""Come here, you rascal. Once you go, you never return.""","""Come here, you rascal.
Once you go, you never return."""
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:03:46,593","00:03:50,507",Your father may be a rich man. In fact he only ordered...,"Your father may be a rich man.
In fact he only ordered..."
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:03:50,964","00:03:54,912",that you stay behind to study. Bholu! What the hell do you do?,"that you stay behind to study.
Bholu! What the hell do you do?"
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:03:55,635","00:03:59,242","""Listen carefully. If he gives me the slip, you'll have it!""","""Listen carefully. If he gives me
the slip, you'll have it!"""
devdas-1955-hindi-dvdrip-x264-ac3-5-1-hon3y,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Devdas 1955 Hindi DvDRip x264 AC3 5.1...Hon3y.srt,"00:03:59,639","00:04:01,585","""Now, give him some sums.""","""Now, give him some sums."""
