film_id,decade,file_path,start,end,text_clean,text_raw
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:03:38,798","00:03:46,295",Remain Awake!,Remain Awake!
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:04:19,139","00:04:20,834",Who are you?,Who are you?
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:04:30,684","00:04:33,209",Where do you stay? Why don't you speak?,"Where do you stay?
Why don't you speak?"
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:04:35,655","00:04:37,623",l am new in this place. l have come from the village.,"l am new in this place.
l have come from the village."
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:04:37,691","00:04:39,352",But what are you doing here?,But what are you doing here?
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:04:39,426","00:04:41,826",l was looking for some water -Have the wells in your vilage,"l was looking for some water
-Have the wells in your vilage"
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:04:42,062","00:04:46,123","...dried up, that you came here looking for water. Go away","...dried up, that you came here
looking for water. Go away"
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:04:56,276","00:04:59,302","Don't appear before me again, else l'll break your limbs.","Don't appear before me again,
else l'll break your limbs."
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:08:09,135","00:08:18,669",Life is a dream and where does truth or lie come in that,"Life is a dream and where
does truth or lie come in that"
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:08:51,778","00:09:04,680",l did everything as told by my heart.,"l did everything as told
by my heart."
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:09:07,527","00:09:11,293","When l get free time, l will try to judge whether...","When l get free time,
l will try to judge whether..."
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:09:11,364","00:09:14,595",...whatever l did was right or wrong,"...whatever l did was
right or wrong"
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:09:43,329","00:09:54,638",When a drop of water fell on the lips of a stone...,"When a drop of water fell on
the lips of a stone..."
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:09:59,445","00:10:06,408",...it is said that it's heart started beating after drinking it.,"...it is said that it's heart
started beating after drinking it."
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:10:38,117","00:10:52,259",l gave one full peg to my grief filled heart,"l gave one full peg
to my grief filled heart"
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:10:54,334","00:11:01,137",Poison killed the poison and dead became alive again.,"Poison killed the poison and
dead became alive again."
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:11:30,470","00:11:31,402","Excuse me, Sir","Excuse me, Sir"
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:11:37,677","00:11:42,376",Your purse fell down on the road -And you are returning it?,"Your purse fell down on the road
-And you are returning it?"
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:11:48,354","00:11:51,152",Have one cigarette on this happy occasion,"Have one cigarette on this
happy occasion"
jaagte-raho,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaagte Raho.srt,"00:11:51,224","00:11:56,321","Sir, l don't know how to smoke.","Sir, l don't know how to smoke."
