film_id,decade,file_path,start,end,text_clean,text_raw
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:00,804","00:00:02,324",You Tube - Video Running Time 01:33:28,You Tube - Video Running Time 01:33:28
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:02,604","00:00:09,344",You Tube search name - Jaal | Dev Anand | Geeta Bali | Guru Dutt,You Tube search name - Jaal (1952) | Dev Anand | Geeta Bali | Guru Dutt (Full Movie)
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:35,068","00:00:39,096","'If anyone speaks bad, don't listen.'","'If anyone speaks
bad, don't listen.'"
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:39,206","00:00:41,300",'Don't speak if someone does wrong.','Don't speak if someone does wrong.'
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:41,408","00:00:44,343",'Stop if someone is doing wrong.','Stop if someone is doing wrong.'
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:44,444","00:00:47,038",'Forgive if someone makes a mistake.',"'Forgive if
someone makes a mistake.'"
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:48,081","00:00:49,981","'All the characters, good or bad..","'All the characters, good or bad.."
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:50,083","00:00:51,312","""Shown in this story are not real.'","""Shown in this story are not real.'"
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:51,418","00:00:53,045",'But their deeds are good and bad.','But their deeds are good and bad.'
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:53,153","00:00:57,056","'And in every country and it's people, this fault is found.'","'And in every country and it's
people, this fault is found.'"
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:00:58,091","00:01:00,992","'On the eastern border of India, there are many small""","'On the eastern border of India,
there are many small"""
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:01,094","00:01:03,995",..foreign settlements where people from..,"..foreign
settlements where people from.."
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:04,097","00:01:07,032",...other countries come for trade.',...other countries come for trade.'
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:07,134","00:01:09,000","'From a similar settlement a ship is"".","'From a similar
settlement a ship is""."
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:09,102","00:01:10,467",...going to leave for Bombay.',...going to leave for Bombay.'
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:25,118","00:01:31,546","For how much more time do we have to wait, sir?","For how much more time
do we have to wait, sir?"
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:38,131","00:01:41,101","I had told you to stand here, so many times.","I had told you to
stand here, so many times."
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:41,201","00:01:43,329",And you are strolling about the place.,"And you are
strolling about the place."
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:43,437","00:01:45,531",This is not your house where I'm your sister-in-law.,"This is not your house
where I'm your sister-in-law."
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:45,639","00:01:46,663",And you are my brother-in-law.,And you are my brother-in-law.
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:46,773","00:01:49,105",Here I'm your captain and you are my constable.,"Here I'm your captain
and you are my constable."
jaal-1952,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Jaal 1952.srt,"00:01:49,209","00:01:50,734","Sir, I..","Sir, I.."
