film_id,decade,file_path,start,end,text_clean,text_raw
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:02:40,460","00:02:43,691","Yes, he is entering a film studio.","Yes, he is entering
a film studio."
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:02:45,131","00:02:47,565",Wonder how many films have been made in this studio.,"Wonder how many films
have been made in this studio."
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:02:48,134","00:02:50,694","Many are made, and how many more will continue to be made.","Many are made, and how many
more will continue to be made."
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:02:51,538","00:02:53,369",But this studio has not changed.,But this studio has not changed.
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:02:53,907","00:02:55,898",And neither have the surroundings.,"And neither have
the surroundings."
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:02:56,142","00:02:57,905",Everything is the same.,Everything is the same.
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:02:58,745","00:03:04,115","Only the films and the ones who make them, keep changing.","Only the films and the ones
who make them, keep changing."
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:03:05,485","00:03:10,115",There was a time when he used to also make films here.,"There was a time when he
used to also make films here."
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:03:47,193","00:03:51,152","""I saw""","""I saw"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:03:52,699","00:03:58,664","""how loyal the world is""","""how loyal the world is"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:04:03,209","00:04:06,440","""Everyone parted""","""Everyone parted"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:04:09,215","00:04:15,177","""one by one""","""one by one"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:04:33,239","00:04:39,202","""With what shall I meet the world""","""With what shall
I meet the world"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:04:41,247","00:04:47,219","""I have nothing but tears""","""I have nothing but tears"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:04:50,256","00:04:56,227","""Where there are flowers on my path""","""Where there are flowers
on my path"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:04:57,263","00:05:03,199","""Now I can't even expect thorns""","""Now I can't even expect thorns"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:05:04,871","00:05:10,842","""Selfish is the world""","""Selfish is the world"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:05:13,680","00:05:16,649","""Everyone parted""","""Everyone parted"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:05:20,286","00:05:23,517","""one by one""","""one by one"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:06:27,353","00:06:30,117","""Time is merciful""","""Time is merciful"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:06:30,356","00:06:33,120","""Desires are young""","""Desires are young"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:06:33,359","00:06:37,125","""To think about tomorrow""","""To think about tomorrow"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:06:37,363","00:06:40,662","...""we have no time""","...""we have no time"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:07:03,790","00:07:06,156","""Let this trend go on""","""Let this trend go on"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:07:06,392","00:07:09,361","""Let times keep changing""","""Let times keep changing"""
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:08:26,472","00:08:30,238","Madam, Mr. Sinha has walked in at the second chime.","Madam, Mr. Sinha has walked in
at the second chime."
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:08:30,476","00:08:33,036",The second number must win today!,"The second number
must win today!"
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:08:33,479","00:08:36,243",Shame!,Shame!
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:08:37,483","00:08:41,442",I've composed a superb tune. Sir chose it as soon as he heard it!,"I've composed a superb tune. Sir
chose it as soon as he heard it!"
kaagaz-ke-phool-guru-dutt-1959-dvdrip,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Kaagaz Ke Phool (Guru Dutt_ 1959) DVDrip.srt,"00:08:41,821","00:08:43,789",It's composed for the scene...,It's composed for the scene...
