film_id,decade,file_path,start,end,text_clean,text_raw
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:03,113","00:03:04,638",What is the time? - It is 8:10.,What is the time? - It is 8:10.
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:04,831","00:03:07,937","8:10! Pretty late. Bihari, drive the car faster!","8:10! Pretty late.
Bihari, drive the car faster!"
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:08,044","00:03:11,712","Are you mad? Such a stormy night, and these twisting roads...","Are you mad? Such a stormy night,
and these twisting roads..."
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:11,753","00:03:15,230","...one mistake, and we will go straight down.","...one mistake,
and we will go straight down."
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:23,710","00:03:28,599","We have still to cover 20 miles. Bihari, why don't U drive faster.","We have still to cover 20 miles.
Bihari, why don't U drive faster."
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:28,763","00:03:30,255",Why are you getting so restless?,Why are you getting so restless?
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:30,825","00:03:34,493","Why not? The car came late, and we reach the station late, then...","Why not? The car came late, and
we reach the station late, then..."
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:34,557","00:03:37,426",...Radha will be unnecessarily worried with our small baby.,"...Radha will be unnecessarily
worried with our small baby."
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:37,619","00:03:41,573","Whether they get worried or not, you are getting impatient to...","Whether they get worried or not,
you are getting impatient to..."
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:41,613","00:03:43,951",...meet your wife and baby.,...meet your wife and baby.
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:03:44,080","00:03:47,027","Who will argue with you now? Bihari, drive faster.","Who will argue with you now?
Bihari, drive faster."
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:04:07,254","00:04:09,651","Sir, there are boulders on the road.","Sir, there are boulders on the road."
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:04:09,840","00:04:12,363",Then what are you staring at? Go and clear the way.,"Then what are you staring at?
Go and clear the way."
madhumati-1958-1080p-web-dl-avc-aac-esub,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Madhumati.1958.1080p.WEB-DL.AVC.AAC.ESub.srt,"00:04:21,177","00:04:23,303","Come, let us also help. - Ok.","Come, let us also help. - Ok."
