film_id,decade,file_path,start,end,text_clean,text_raw
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:00:00,804","00:00:02,324",You Tube - Video Running Time 02:26:42,You Tube - Video Running Time 02:26:42
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:00:02,604","00:00:03,884",You Tube search name - Miss Mary,You Tube search name - Miss Mary
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:02:36,340","00:02:40,520",Laxmi School is dedicated to my missing daughter Laxmi.,"Laxmi School is dedicated
to my missing daughter Laxmi."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:02:41,310","00:02:47,630",This school is as dear to me as the children are to their parents.,"This school is as dear to me
as the children are to their parents."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:02:49,340","00:02:54,450","On its 16th anniversary today, you will be glad to know that...","On its 16th anniversary today,
you will be glad to know that..."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:02:55,280","00:02:58,590",I'm going to upgrade our primary school to middle grade.,"I'm going to upgrade our primary
school to middle grade."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:03:01,960","00:03:09,960","To manage which, I have advertised for a graduate husband and wife.","To manage which, I have advertised
for a graduate husband and wife."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:03:11,580","00:03:14,190",I hope my efforts bear fruit.,I hope my efforts bear fruit.
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:03:25,980","00:03:29,190","Ma, was Laxmi a prankster like me?","Ma, was Laxmi a prankster like me?"
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:03:29,580","00:03:32,990","No, dear. She was very soft.","No, dear. She was very soft."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:03:35,320","00:03:37,670",Where's Raju? He's such a careless boy.,"Where's Raju?
He's such a careless boy."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:03:37,790","00:03:39,866",He didn't even attend the school's anniversary function today.,"He didn't even attend the school's
anniversary function today."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:03:39,890","00:03:47,810","Father, he must be somewhere searching for sister Laxmi with his binoculars.","Father, he must be somewhere searching
for sister Laxmi with his binoculars."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:03:50,970","00:03:54,640","Your favorite nephew, lndia's number one detective...","Your favorite nephew,
lndia's number one detective..."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:03:55,070","00:03:57,430",would do nothing but look for Laxmi.,would do nothing but look for Laxmi.
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:03:57,730","00:04:03,330","- What kind of getup is this? - Sorry. Actually, I found them...","- What kind of getup is this?
- Sorry. Actually, I found them..."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:03,490","00:04:07,060",- Who are they? - This man says the girl is our Laxmi.,"- Who are they?
- This man says the girl is our Laxmi."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:07,430","00:04:12,520","- No, she can't be our Laxmi. - Aunt, take a look at this locket.","- No, she can't be our Laxmi.
- Aunt, take a look at this locket."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:12,920","00:04:17,200","- Did it belong to Laxmi? - No, this isn't the one.","- Did it belong to Laxmi?
- No, this isn't the one."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:19,130","00:04:21,850",I doubted it. Do take a look at the mole on her leg.,"I doubted it. Do take a look
at the mole on her leg."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:22,660","00:04:26,730",- Please do. - Laxmi had a mole on her right leg.,"- Please do.
- Laxmi had a mole on her right leg."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:27,240","00:04:29,760","- Not on the left. - Sir, when she was a kid...","- Not on the left.
- Sir, when she was a kid..."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:30,060","00:04:34,350","the mole was on her right leg. As she grew up, the mole shifted to her left.","the mole was on her right leg. As she
grew up, the mole shifted to her left."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:34,840","00:04:39,950","- Like a train shuttling, well? - Where did you find these imposters?","- Like a train shuttling, well?
- Where did you find these imposters?"
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:40,170","00:04:43,090",Throw them out! Bloody detective!,Throw them out! Bloody detective!
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:44,490","00:04:50,070","Chicken! What are you watching? Get out of here! Or, I'll turn you in.","Chicken! What are you watching?
Get out of here! Or, I'll turn you in."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:50,930","00:04:51,930",Get lost!,Get lost!
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:54,080","00:04:58,660","Chandragupta, you're useless. I told you this girl is a fake!","Chandragupta, you're useless.
I told you this girl is a fake!"
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:04:59,120","00:05:03,090","Today, because of you, the number one detective is disgraced.","Today, because of you,
the number one detective is disgraced."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:05:03,130","00:05:04,870",- Yes... - Shut up!,"- Yes...
- Shut up!"
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:05:06,190","00:05:10,130","Aunt, give me a proper description of Laxmi.","Aunt, give me a proper
description of Laxmi."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:05:10,510","00:05:13,270",I'll place an advertisement again in the newspapers. God willing...,"I'll place an advertisement again
in the newspapers. God willing..."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:05:13,550","00:05:16,360",we'll find our Laxmi and the teachers at the same time.,"we'll find our Laxmi
and the teachers at the same time."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:05:16,950","00:05:18,750","Chandragupta, ass, write it down. Go on, Aunt.","Chandragupta, ass, write it down.
Go on, Aunt."
missmary,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/MissMary.srt,"00:05:21,640","00:05:26,380",Laxmi was a real goddess. She was true to her name.,"Laxmi was a real goddess.
She was true to her name."
