film_id,decade,file_path,start,end,text_clean,text_raw
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:03:38,899","00:03:42,130","The water canal has reached our village, Mother.","The water canal has reached
our village, Mother."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:03:42,402","00:03:45,132",The villagers want you to inaugurate it.,"The villagers want you
to inaugurate it."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:03:46,406","00:03:50,866","She refuses! You are our mother, the mother of the whole village!","She refuses! You are our mother,
the mother of the whole village!"
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:03:51,411","00:03:54,380",Either you inaugurate it or it will remain untouched!,"Either you inaugurate it
or it will remain untouched!"
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:03:54,915","00:03:55,882","Mother, please...","Mother, please..."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:08:53,813","00:08:56,281",l speak the truth.,l speak the truth.
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:08:56,549","00:09:01,009",The wedding was so grand that everybody is talking about it.,"The wedding was so grand that
everybody is talking about it."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:01,421","00:09:07,018",Of course. God has blessed me with just one son.,"Of course. God has blessed
me with just one son."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:07,327","00:09:11,423",Nobody in our village holds a torch to the bride in beauty.,"Nobody in our village holds
a torch to the bride in beauty."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:11,831","00:09:15,289","Of what use is mere beauty? She should be talented, too.","Of what use is mere beauty?
She should be talented, too."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:15,702","00:09:18,796","lf God desires, she will be.","lf God desires, she will be."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:19,072","00:09:22,803",l've heard something... The villagers would say...,"l've heard something...
The villagers would say..."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:23,543","00:09:26,011",Why have you stopped? Go on.,Why have you stopped? Go on.
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:26,179","00:09:29,273","Aunt, please don't feel offended.","Aunt, please don't feel offended."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:29,682","00:09:35,018",People say that you have mortgaged your land for the wedding.,"People say that you have mortgaged
your land for the wedding."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:35,455","00:09:37,923",Mortgaged my land!,Mortgaged my land!
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:38,458","00:09:42,053",Let them say that in front of me! l'll knock their teeth out!,"Let them say that in front of me!
l'll knock their teeth out!"
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:42,462","00:09:46,421",What hasn't God given me? Don't l possess land?,"What hasn't God given me?
Don't l possess land?"
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:46,833","00:09:48,926",Plow? Bullocks?,Plow? Bullocks?
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:50,069","00:09:54,529",l've mortgaged land!,l've mortgaged land!
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:56,209","00:09:59,440",Why are the villagers jealous?!,Why are the villagers jealous?!
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:09:59,979","00:10:01,571",My foot!,My foot!
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:10:07,186","00:10:09,154",l have mortgaged the land.,l have mortgaged the land.
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:10:09,956","00:10:13,687","lf l wouldn't, how could l celebrate the marriage?","lf l wouldn't, how could
l celebrate the marriage?"
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:10:14,327","00:10:16,659",Who doesn't do it?,Who doesn't do it?
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:10:18,698","00:10:23,158","lf the bride is fortunate enough, we'll get it released, too.","lf the bride is fortunate enough,
we'll get it released, too."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:10:24,203","00:10:25,932",She does look lucky.,She does look lucky.
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:02,141","00:11:03,972",Let me do something.,Let me do something.
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:04,277","00:11:06,370",Fine. You do it.,Fine. You do it.
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:18,091","00:11:21,060",What have you done? A new bride and you've removed yourjewellery!,"What have you done? A new bride
and you've removed yourjewellery!"
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:21,594","00:11:24,188","Think of me, if not yourself.","Think of me, if not yourself."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:24,731","00:11:27,063",l haven't yet seen you properly.,l haven't yet seen you properly.
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:27,600","00:11:29,693",- Wear them. - Sell them.,"- Wear them.
- Sell them."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:29,969","00:11:33,302",- Are you mad? - lt will lighten the burden.,"- Are you mad?
- lt will lighten the burden."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:34,240","00:11:35,571",What burden?,What burden?
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:35,975","00:11:38,307",Mother has mortgaged the land.,Mother has mortgaged the land.
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:38,745","00:11:41,578",That's a pack of lies! The villagers make up stories!,"That's a pack of lies!
The villagers make up stories!"
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:41,881","00:11:45,715","And even if she has, l'll throw the money in the lender's face very soon!","And even if she has, l'll throw the
money in the lender's face very soon!"
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:46,119","00:11:50,490",Somebody will see! Mother might come. Let go.,"Somebody will see!
Mother might come. Let go."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:50,490","00:11:52,082",- So what? - Won't you feel shy?,"- So what?
- Won't you feel shy?"
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:52,258","00:11:54,226",Dump the shame in your basket!,Dump the shame in your basket!
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:11:56,129","00:11:58,723",- l wish mother comes. - Let her.,"- l wish mother comes.
- Let her."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:12:05,104","00:12:09,700",l swear... they look good on you.,l swear... they look good on you.
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:12:12,111","00:12:17,447",l pray that they always remain in my hands for you to see.,"l pray that they always remain
in my hands for you to see."
mother-india,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Mother India.srt,"00:12:18,251","00:12:19,980",Why won't they when l'm around?,Why won't they when l'm around?
