film_id,decade,file_path,start,end,text_clean,text_raw
musafir,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Musafir.srt,"00:00:00,804","00:00:01,767",You Tube - Video Running Time 02:28:35,You Tube - Video Running Time 02:28:35
musafir,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Musafir.srt,"00:00:02,604","00:00:03,567",You Tube search name - Musafir - 1957,You Tube search name - Musafir - 1957
musafir,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Musafir.srt,"00:02:42,220","00:02:43,820",There are countless houses...,[Narrator] There are countless houses...
musafir,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Musafir.srt,"00:02:44,820","00:02:47,050",and innumerable people who reside in them.,"and innumerable people
who reside in them."
musafir,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Musafir.srt,"00:02:48,560","00:02:50,841",These houses stand mute witness to the joys and sorrows...,"These houses stand mute witness
to the joys and sorrows..."
musafir,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Musafir.srt,"00:02:50,960","00:02:54,510",the laughter and tears of these countless millions.,"the laughter and tears
of these countless millions."
musafir,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Musafir.srt,"00:02:56,300","00:02:58,690",These people come here as travelers...,"These people come here
as travelers..."
musafir,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Musafir.srt,"00:02:59,430","00:03:02,390",reside for a while and then leave.,"reside for a while
and then leave."
musafir,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Musafir.srt,"00:03:03,560","00:03:06,750","Birth occurs here, so do weddings...","Birth occurs here,
so do weddings..."
musafir,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Musafir.srt,"00:03:07,750","00:03:09,160",and so does death.,and so does death.
