film_id,decade,file_path,start,end,text_clean,text_raw
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:02:45,131","00:02:47,292",Throw it. Throw each thing out.,Throw it. Throw each thing out.
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:02:47,367","00:02:49,358",He is not my son in law that I would...,"He is not my son in
law that I would..."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:02:49,435","00:02:51,062",...keep him in my house for 3 months without rent.,"...keep him in my house for
3 months without rent."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:02:51,137","00:02:54,072",In the first month he said that he will get the money from Bombay.,"In the first month he said that he
will get the money from Bombay."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:02:54,140","00:02:57,405","In the 2nd month he said that he received the money, but got stolen.","In the 2nd month he said that he
received the money, but got stolen."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:02:57,477","00:03:00,105",And the wretched now says that his granny has expired.,"And the wretched now says that
his granny has expired."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:00,180","00:03:03,172","Thief, loafer, cheater, liar! Earns 100 rupees.","Thief, loafer, cheater, liar!
Earns 100 rupees."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:03,249","00:03:05,513",And wants a house worth 200 rupees per month.,"And wants a house worth
200 rupees per month."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:05,585","00:03:09,180",Says such lies that his uncle is a millionaire.,"Says such lies that his
uncle is a millionaire."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:09,255","00:03:11,246",He is the owner of half of Bombay.,He is the owner of half of Bombay.
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:11,324","00:03:12,848","If he wishes, he can buy the whole of Delhi.","If he wishes, he can buy
the whole of Delhi."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:13,026","00:03:15,392",He is totally shameless!,He is totally shameless!
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:15,461","00:03:19,864","If he tries to enter this house again, just throw him out.","If he tries to enter this house
again, just throw him out."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:20,033","00:03:22,365","Manglu, next time find out such a tenant...","Manglu, next time find
out such a tenant..."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:22,435","00:03:25,268",...who is either a married man or a sage!,"...who is either a married
man or a sage!"
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:25,338","00:03:27,329",So that he does not run away...,So that he does not run away...
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:27,407","00:03:29,034",...from the house every time I ask for the rent.,"...from the house every time
I ask for the rent."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:29,108","00:03:31,099",God knows when this loafer returns in the night...,"God knows when this loafer
returns in the night..."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:31,177","00:03:32,872",...and when he leaves the house in the morning.,"...and when he leaves the
house in the morning."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:33,046","00:03:35,071","Curse you, Shri Madan Gopal!","Curse you, Shri Madan Gopal!"
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:03:48,127","00:03:51,221",The owner is outside the house.,The owner is outside the house.
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:04:01,174","00:04:02,232","Lost this house, too.","Lost this house, too."
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:04:06,179","00:04:09,171","Come, come, my piece of moon, Shri Madan Gopal!","Come, come, my piece of moon,
Shri Madan Gopal!"
nau-do-gyarah,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Nau Do Gyarah.srt,"00:04:09,249","00:04:11,012",Who has put the lock on my door?,Who has put the lock on my door?
