film_id,decade,file_path,start,end,text_clean,text_raw
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:02:35,550","00:02:37,420",l won't forgive the interest amount.,l won't forgive the interest amount.
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:02:37,660","00:02:39,480",Repay the entire amount within a week.,"Repay the entire amount
within a week."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:02:41,600","00:02:42,700",Yes?,Yes?
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:02:42,720","00:02:45,840",Find out if the blueprint for the new house is ready.,"Find out if the blueprint
for the new house is ready."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:02:48,800","00:02:51,540",Where did you go? Mother was asking about you.,"Where did you go?
Mother was asking about you."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:02:51,960","00:02:53,670","- Why, sister-in-law? - l don't know.","- Why, sister-in-law?
- l don't know."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:02:54,000","00:02:55,520",- Where is she? - Upstairs.,"- Where is she?
- Upstairs."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:03,460","00:03:05,670","- Yes, mother. - Did you visit your aunt?","- Yes, mother.
- Did you visit your aunt?"
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:06,310","00:03:09,660","- Oh, l forgot. - That's obvious.","- Oh, l forgot.
- That's obvious."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:10,110","00:03:13,350",l was mistaken in thinking you'd take care of family business.,"l was mistaken in thinking
you'd take care of family business."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:13,560","00:03:15,640","Mother, l'll surely go there on my way back from work.","Mother, l'll surely go there
on my way back from work."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:15,820","00:03:18,190",- Don't forget to go. - l'll surely go.,"- Don't forget to go.
- l'll surely go."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:24,630","00:03:27,260",Oh. Looks like the sun has risen from the west.,"Oh. Looks like the sun
has risen from the west."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:27,590","00:03:29,490",May l ask the reason for your absence yesterday?,"May l ask the reason for
your absence yesterday?"
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:32,120","00:03:33,760",- Why aren't you answering? - Wait.,"- Why aren't you answering?
- Wait."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:34,590","00:03:37,300","You've given me such difficult problems, l can't solve them.","You've given me such difficult
problems, l can't solve them."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:37,820","00:03:44,290","You won't. The questions are simple, but you're a dud.","You won't. The questions are
simple, but you're a dud."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:45,630","00:03:50,810","Sure. lnstead, why not admit you're just a bad teacher?","Sure. lnstead, why not admit
you're just a bad teacher?"
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:51,120","00:03:53,240",How can l teach? You come one day and are absent the next three.,"How can l teach? You come one day
and are absent the next three."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:53,440","00:03:54,940",Why didn't you come yesterday?,Why didn't you come yesterday?
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:54,960","00:03:56,960",How could l come? Aunt wasn't well.,"How could l come?
Aunt wasn't well."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:57,480","00:03:59,280","l've to attend to the domestic chores, too.","l've to attend to the
domestic chores, too."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:03:59,690","00:04:02,000",Keep doing the domestic work. You'll never be able to study.,"Keep doing the domestic work.
You'll never be able to study."
parineeta-1953,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parineeta (1953).srt,"00:04:02,470","00:04:05,560","Sister, hurry up, mother has called you.","Sister, hurry up,
mother has called you."
