film_id,decade,file_path,start,end,text_clean,text_raw
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:02:12,565","00:02:14,363",Near the city.,Near the city.
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:02:14,467","00:02:17,027",This magnificent house is in Mufassil.,"This magnificent house
is in Mufassil."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:02:17,370","00:02:18,565",Choudhari house.,Choudhari house.
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:02:19,572","00:02:22,064",In which stays a happy family.,In which stays a happy family.
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:02:22,342","00:02:24,208",This is their story.,This is their story.
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:02:45,965","00:02:47,399",What is his name?,What is his name?
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:02:47,500","00:02:51,403","Son, this time you have made a tricky move.","Son, this time you have
made a tricky move."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:02:52,505","00:02:56,032","Ok, now take care of your knight.","Ok, now take care of your knight."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:02:56,142","00:02:58,008",Then you'll know.,Then you'll know.
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:02:58,578","00:03:01,206","Oh no no! Not the pawn, not the pawn","Oh no no!
Not the pawn, not the pawn"
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:01,314","00:03:04,477",Just move this horse to the front.,Just move this horse to the front.
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:05,285","00:03:06,616",Section 29..,Section 29..
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:07,086","00:03:09,384",.if clause 2. Just let me check.,.if clause 2. Just let me check.
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:10,390","00:03:12,154",So why you said while going to court..,"So why you said while
going to court.."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:12,258","00:03:14,420",..that after coming back | will take you to Kalyani's home.,"..that after coming back | will
take you to Kalyani's home."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:14,961","00:03:16,486","Yes, yes definetly | will take you..","Yes,
yes definetly | will take you.."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:16,596","00:03:17,893",When did | said no?,When did | said no?
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:18,331","00:03:20,356","Just bring that book, let me have a glance at it.","Just bring that book,
let me have a glance at it."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:21,067","00:03:22,228",Meanwhile you get ready.,Meanwhile you get ready.
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:22,302","00:03:23,861",I will not take time for me..,I will not take time for me..
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:23,937","00:03:25,871",..I will change in a snap of your fingers.,"..I will change in a snap
of your fingers."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:26,339","00:03:28,364",Women take time to get ready.,Women take time to get ready.
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:29,075","00:03:30,941",But before | get ready..,But before | get ready..
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:31,044","00:03:34,014",.finish your Hindu succession act.,".finish your Hindu
succession act."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:40,286","00:03:41,344","65,66..","65,66.."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:41,454","00:03:45,152",..67 68 69 70.,..67 68 69 70.
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:45,225","00:03:46,659","7, 72..","7, 72.."
parivar,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Parivar.srt,"00:03:46,960","00:03:48,450","73,74..","73,74.."
