film_id,decade,file_path,start,end,text_clean,text_raw
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:02:41,254","00:02:43,722","""These smiling flowers""","""These smiling flowers"""
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:02:46,259","00:02:48,557","""These fragrant gardens""","""These fragrant gardens"""
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:02:51,364","00:02:53,389","""This world filled...""","""This world filled..."""
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:02:53,466","00:02:58,995","""with glorious colours""","""with glorious colours"""
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:03:21,060","00:03:28,193","""The nectar intoxicates the bees""","""The nectar intoxicates the bees"""
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:03:30,403","00:03:36,535","""The nectar intoxicates the bees""","""The nectar intoxicates the bees"""
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:03:44,250","00:03:52,055","""What little have I to add to this splendour...""","""What little have I to add
to this splendour..."""
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:03:54,027","00:04:01,832","""save a fear tears, a few sighs""","""save a fear tears,
a few sighs"""
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:03,036","00:04:06,836",I told you to keep the place tidy.,I told you to keep the place tidy.
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:07,707","00:04:12,838","If that manuscript was here, then where has it got to?","If that manuscript was here,
then where has it got to?"
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:15,381","00:04:19,010","- What do you know, then? - He wished you good morning.","- What do you know, then?
- He wished you good morning."
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:19,218","00:04:22,016",Fool! I mean about the manuscript!,"Fool!
I mean about the manuscript!"
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:23,056","00:04:25,024",You've looked at my things?,You've looked at my things?
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:26,893","00:04:28,360",Wings?,Wings?
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:29,228","00:04:32,857","This is a newspaper office, not a bird house!","This is a newspaper office,
not a bird house!"
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:33,066","00:04:34,533","Wings, indeed!","Wings, indeed!"
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:34,734","00:04:39,535",Things. Have you read the poems I left?,"Things.
Have you read the poems I left?"
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:40,073","00:04:41,199",I have.,I have.
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:41,574","00:04:44,543",Did you like them? You'll publish them?,"Did you like them?
You'll publish them?"
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:44,744","00:04:47,372",I haven't lost my mind.,I haven't lost my mind.
pyaasa,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Pyaasa.srt,"00:04:47,580","00:04:51,880",Call that gibberish poetry? It's a crusade against unemployment.,"Call that gibberish poetry? It's
a crusade against unemployment."
