film_id,decade,file_path,start,end,text_clean,text_raw
railwayplatform,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/RailwayPlatform.srt,"00:00:00,804","00:00:02,767",You Tube - Video Running Time 02:11:44,You Tube - Video Running Time 02:11:44
railwayplatform,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/RailwayPlatform.srt,"00:00:03,604","00:00:05,567",You Tube search name - Railway Platform,You Tube search name - Railway Platform
railwayplatform,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/RailwayPlatform.srt,"00:00:09,430","00:00:15,350","Through hamlets and settlements, hills and vales, wanders a gypsy singing","Through hamlets and settlements,
hills and vales, wanders a gypsy singing"
railwayplatform,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/RailwayPlatform.srt,"00:00:15,660","00:00:18,660",To the accompaniment of his heart's music,"To the accompaniment
of his heart's music"
railwayplatform,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/RailwayPlatform.srt,"00:00:36,960","00:00:39,920",We journey but a short while together,"We journey but a
short while together"
railwayplatform,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/RailwayPlatform.srt,"00:00:40,020","00:00:42,860",Our friendships bound by time,Our friendships bound by time
railwayplatform,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/RailwayPlatform.srt,"00:00:43,040","00:00:49,010","If we tarry today, we must prepare for a journey on the morrow","If we tarry today, we must prepare
for a journey on the morrow"
railwayplatform,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/RailwayPlatform.srt,"00:01:25,610","00:01:31,740","The Fates sit, spreading their snares at every step","The Fates sit, spreading
their snares at every step"
railwayplatform,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/RailwayPlatform.srt,"00:01:37,910","00:01:43,720","Who will be left behind on this journey of life, no one knows","Who will be left behind on
this journey of life, no one knows"
railwayplatform,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/RailwayPlatform.srt,"00:01:47,040","00:01:52,940","Through hamlets and settlements, hills and vales, wanders a gypsy singing","Through hamlets and settlements,
hills and vales, wanders a gypsy singing"
