film_id,decade,file_path,start,end,text_clean,text_raw
sharada-1957,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Sharada.1957.srt,"00:02:39,425","00:02:41,052","Shekhar sir, I'm really surprised,","Shekhar sir, I'm really
surprised,"
sharada-1957,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Sharada.1957.srt,"00:02:41,261","00:02:45,721",Such a small girl and such good pronunciation of Sanskrit.,"Such a small girl and such good
pronunciation of Sanskrit."
sharada-1957,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Sharada.1957.srt,"00:02:46,266","00:02:49,235","Not only this, she remembers the entire Gita.","Not only this, she remembers
the entire Gita."
sharada-1957,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Sharada.1957.srt,"00:02:49,435","00:02:51,733","I see... I've heard from people saying,","I see... I've heard from
people saying,"
sharada-1957,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Sharada.1957.srt,"00:02:51,938","00:02:54,566","That the great soul which had left your house,","That the great soul which had
left your house,"
sharada-1957,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Sharada.1957.srt,"00:02:54,974","00:02:57,067",It has come back in the form of this girl.,"It has come back in the
form of this girl."
sharada-1957,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Sharada.1957.srt,"00:02:57,277","00:03:00,906","Shekhar sir, I've also heard that, there's a complete story behind this.","Shekhar sir, I've also heard that, there's
a complete story behind this."
sharada-1957,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Sharada.1957.srt,"00:03:02,649","00:03:04,947",Yes... my life story.,Yes... my life story.
sharada-1957,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Sharada.1957.srt,"00:03:05,718","00:03:07,015",Can I hear that?,Can I hear that?
sharada-1957,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Sharada.1957.srt,"00:03:11,391","00:03:12,091",Listen...,Listen...
