film_id,decade,file_path,start,end,text_clean,text_raw
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:00:00,804","00:00:02,324",You Tube - Video Running Time 02:11:14,You Tube - Video Running Time 02:11:14
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:00:02,604","00:00:07,444",You Tube search name - Taxi Driver - 1954,You Tube search name - Taxi Driver - 1954
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:03:24,050","00:03:26,830","Madam, your handkerchief.","Madam, your handkerchief."
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:03:28,230","00:03:30,150",- And happy hunting. - Rascal.,"- And happy hunting.
- Rascal."
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:03:32,190","00:03:33,990",Isn't it time you went for your kill?,Isn't it time you went for your kill?
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:03:34,070","00:03:36,880",What's bothering you? You've been gone for four days.,"What's bothering you?
You've been gone for four days."
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:03:36,930","00:03:38,230",Found someone else?,Found someone else?
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:03:42,600","00:03:43,800",Get lost.,Get lost.
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:03:45,360","00:03:46,660",How about tonight?,How about tonight?
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:04:48,160","00:04:52,750",- How much? - Allow me.,"- How much?
- Allow me."
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:04:52,830","00:04:55,770",- It's one and the same. - This will end in an altercation.,"- It's one and the same.
- This will end in an altercation."
taxidriver,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/TaxiDriver.srt,"00:04:55,800","00:04:59,450",- Suit yourself. - Please proceed.,"- Suit yourself.
- Please proceed."
