film_id,decade,file_path,start,end,text_clean,text_raw
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:02:34,493","00:02:35,755",Are the specs ready?.,Are the specs ready?.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:02:35,861","00:02:37,294",Yes. I will just get it.,Yes. I will just get it.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:02:49,475","00:02:50,737",Take this.,Take this.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:02:55,914","00:02:58,132",Show me some nice goggles. - Yes.,"Show me some nice goggles.
- Yes."
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:03:08,327","00:03:09,612",Kamala.,Kamala.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:03:13,732","00:03:15,825",Kamala. - Mr. Prem.,"Kamala.
- Mr. Prem."
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:03:19,204","00:03:22,298","Mr. Prem, what has happened to you?.","Mr. Prem, what has happened to you?."
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:03:25,210","00:03:26,165",Nothing.,Nothing.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:03:28,247","00:03:31,796",You face is so fluffy and swollen.,You face is so fluffy and swollen.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:03:33,218","00:03:34,173",Yes.,Yes.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:03:38,357","00:03:39,437",I see.,I see.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:03:40,626","00:03:41,820",Remove the specs.,Remove the specs.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:03:51,236","00:03:52,191",The money.,The money.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:03:53,305","00:03:54,260",Yes.,Yes.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:04:00,279","00:04:01,632",Take this.,Take this.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:04:03,148","00:04:05,969",Your specs. - Yes. Give.,"Your specs.
- Yes. Give."
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:04:06,085","00:04:07,734",Wait. I will also come with you.,Wait. I will also come with you.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:04:07,853","00:04:10,674","Sir, goggles. - Some other day.","Sir, goggles.
- Some other day."
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:04:13,425","00:04:15,711",He had not come to buy goggles.,He had not come to buy goggles.
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:04:15,828","00:04:18,683",He had come to buy a girl.And he took her.,"He had come to buy
a girl.And he took her."
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:04:52,331","00:04:56,756","""""Covertly and by making pretext.""""","""""Covertly and by making pretext."""""
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:04:56,869","00:05:01,226","""""Through my eyes, you have started dwelling in my heart.""""","""""Through my eyes, you
have started dwelling in my heart."""""
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:05:01,940","00:05:06,036","""""Through my eyes, you have started dwelling in my heart.""""","""""Through my eyes, you
have started dwelling in my heart."""""
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:05:06,145","00:05:08,067","""""With gestures and style.""""","""""With gestures and style."""""
vachan,1950s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1950s/Vachan.srt,"00:05:08,180","00:05:14,915","""""Pretty damsels know how to make pretexts.""""","""""Pretty damsels
know how to make pretexts."""""
