film_id,decade,file_path,start,end,text_clean,text_raw
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:00:08,490","00:00:14,725",This Air India flight is headed from Delhi to London,"This Air India flight is headed
from Delhi to London"
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:00:15,864","00:00:18,230",Among the passengers,Among the passengers
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:00:18,533","00:00:20,865",Indian and foreign,Indian and foreign
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:00:21,202","00:00:24,005",Newly weds and those married for many years,"Newly weds and those married
for many years"
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:00:24,005","00:00:26,906",Ministers and sentries,Ministers and sentries
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:00:27,342","00:00:30,243",And a very strange girl. Deepa,And a very strange girl. Deepa
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:00:31,179","00:00:36,981","Young, beautiful and rich. She's fed up of life","Young, beautiful and rich.
She's fed up of life"
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:00:37,319","00:00:42,857","At 23, she has three unsuccessful love affairs behind her...","At 23, she has three unsuccessful
love affairs behind her..."
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:00:42,857","00:00:45,655",and she's going to Paris to seek solace,"and she's going to Paris
to seek solace"
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:00:46,161","00:00:52,066",She bears the impression that there are no real lovers in India,"She bears the impression that there
are no real lovers in India"
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:01:17,392","00:01:21,730","""An opportunity like this, you will never have again""","""An opportunity like this,
you will never have again"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:01:21,730","00:01:26,030","""A man with a heart like mine, you will never find again""","""A man with a heart like mine,
you will never find again"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:01:26,434","00:01:30,495","""Come, let me take you around Paris on a colorful evening...""","""Come, let me take you around Paris
on a colorful evening..."""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:01:30,772","00:01:38,042","""An Evening in Paris""","""An Evening in Paris"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:01:39,047","00:01:42,784","""An opportunity like this, you will never have again""","""An opportunity like this,
you will never have again"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:01:42,784","00:01:46,777","""A man with a heart like mine, you will never find again""","""A man with a heart like mine,
you will never find again"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:01:47,355","00:01:50,658","""Come, let me take you around Paris on a colorful evening...""","""Come, let me take you around Paris
on a colorful evening..."""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:01:50,658","00:01:59,362","""An Evening in Paris""","""An Evening in Paris"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:02:24,993","00:02:29,054","""Look at this bevy of beauties""","""Look at this bevy of beauties"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:02:29,364","00:02:33,232","""They say such sweet things""","""They say such sweet things"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:02:33,635","00:02:37,264","""They do color your heart...""","""They do color your heart..."""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:02:37,605","00:02:41,541","""when they choose to play hide-n-seek with you""","""when they choose to play
hide-n-seek with you"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:02:41,776","00:02:45,439","""Look at this bevy of beauties""","""Look at this bevy of beauties"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:02:45,847","00:02:48,950","""They say such sweet things""","""They say such sweet things"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:02:48,950","00:02:53,887","""They do color your heart...""","""They do color your heart..."""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:02:54,055","00:02:57,582","""when they choose to play hide-n-seek with you""","""when they choose to play
hide-n-seek with you"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:02:58,193","00:03:02,129","""Where will you find an opportunity like this again?""","""Where will you find an
opportunity like this again?"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:03:02,497","00:03:05,625","""Where will you find someone like me again?""","""Where will you find
someone like me again?"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:03:06,634","00:03:10,695","""Come, let me show you a colorful evening of Paris...""","""Come, let me show you a
colorful evening of Paris..."""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:03:11,039","00:03:18,468","""An Evening in Paris""","""An Evening in Paris"""
aneveninginparis,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/AnEveningInParis.srt,"00:03:40,001","00:03:44,335","""Arm in arm...""","""Arm in arm..."""
