film_id,decade,file_path,start,end,text_clean,text_raw
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:00:29,037","00:00:34,037",Synced by Anomix33,"<font color=""#ff0000""><i>Synced by Anomix33</i></font>"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:02:32,261","00:02:34,591",Good afternoon. This is Eastern Exporters.,"Good afternoon.
This is Eastern Exporters."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:02:35,621","00:02:38,912","Oh no, that's all right, Mr Sharma. One moment.","Oh no, that's all right, Mr Sharma.
One moment."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:02:45,221","00:02:48,031",You're giggling away! What's she saying?,"You're giggling away!
What's she saying?"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:02:48,581","00:02:52,351",She has called him home. - Really? Give it to me,"She has called him home.
- Really? Give it to me"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:00,101","00:03:04,077","I'll be there in half an hour. - No, sooner.","I'll be there in half an hour.
- No, sooner."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:04,101","00:03:07,238",In 20 minutes then? - No. 15 minutes.,"In 20 minutes then?
- No. 15 minutes."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:07,301","00:03:10,111",All right. I'll be there in 15 minutes.,"All right.
I'll be there in 15 minutes."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:10,181","00:03:14,432",Do you think I like being away from you?,"Do you think I like being
away from you?"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:14,981","00:03:19,712",Sometimes I feel like giving up everything to sit before you.,"Sometimes I feel like giving up
everything to sit before you."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:19,781","00:03:22,591",To just keep looking at you.,To just keep looking at you.
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:23,141","00:03:26,540","You're back, Mr Kashinath? - At the moment...","You're back, Mr Kashinath?
- At the moment..."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:26,564","00:03:29,837",the exporter's dealing only in love. - What does that mean?,"the exporter's dealing only in love.
- What does that mean?"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:29,861","00:03:34,111",It's the telephone. By getting married at the age of 40...,"It's the telephone. By getting
married at the age of 40..."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:34,181","00:03:36,077",Mr Sharma has turned the office into a bridal party.,"Mr Sharma has turned the office
into a bridal party."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:36,101","00:03:38,911","Out of every hour, he spends two hours on the phone.","Out of every hour, he spends
two hours on the phone."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:38,981","00:03:41,517",Two hours in an hour? What arithmetic is that...?,"Two hours in an hour?
What arithmetic is that...?"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:41,541","00:03:44,678",Moron! When could you ever use arithmetic in love?,"Moron! When could you ever use
arithmetic in love?"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:44,741","00:03:47,551",Does it appear from the boss's face that he could be such a romantic man?,"Does it appear from the boss's face
that he could be such a romantic man?"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:49,061","00:03:51,391",God! - What happened?,"God!
- What happened?"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:03:56,741","00:03:59,071",Damn it! The line has gone dead.,"Damn it! The line
has gone dead."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:04:26,981","00:04:29,791",Sway gently...,<i>Sway gently...</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:04:33,221","00:04:36,511",O yearning heart...,<i>O yearning heart...</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:04:44,741","00:04:47,551",he shall arrive.,<i>he shall arrive.</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:04:49,541","00:04:54,751",Do not torment me like this...,"<i>Do not torment
me like this...</i>"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:04:54,821","00:04:57,631",he shall arrive soon.,<i>he shall arrive soon.</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:05:16,901","00:05:21,632",The air bears his scent.,<i>The air bears his scent.</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:05:24,101","00:05:28,832",I can hear his footsteps.,<i>I can hear his footsteps.</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:05:40,421","00:05:45,152",Let me dress up for him..,<i>Let me dress up for him..</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:05:45,221","00:05:48,031",For he shall arrive soon.,<i>For he shall arrive soon.</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:05:50,021","00:05:52,351",Sway gently...,<i>Sway gently...</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:05:52,421","00:05:54,751",O yearning heart...,<i>O yearning heart...</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:05:54,821","00:05:57,151",he shall arrive.,<i>he shall arrive.</i>
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:04,260","00:06:06,754",You're back. - Sing.,"You're back.
- Sing."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:06,821","00:06:10,956",Go & freshen up. Don't you remember? We're attending a party today.,"Go & freshen up. Don't you remember?
We're attending a party today."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:10,980","00:06:15,875",There's a lot of time for that. But a song mustn't remain incomplete.,"There's a lot of time for that.
But a song mustn't remain incomplete."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:15,941","00:06:17,311",Please sing.,Please sing.
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:21,221","00:06:25,952",I feel sad that I didn't learn to sing better.,"I feel sad that I didn't
learn to sing better."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:26,340","00:06:28,834",What you have learnt is enough for me.,"What you have learnt
is enough for me."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:29,381","00:06:34,591","When a man gets more than he expects, he thinks he's not worthy of it.","When a man gets more than he expects,
he thinks he's not worthy of it."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:35,141","00:06:38,431",Where did you learn to talk like that?,"Where did you learn
to talk like that?"
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:38,981","00:06:40,351",Where?,Where?
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:41,861","00:06:44,671",Not even learnt... you stole them.,"Not even learnt...
you stole them."
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:45,221","00:06:47,071",From my poems.,From my poems.
anupama-1966,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Anupama.1966.srt,"00:06:52,421","00:06:55,231",Sway gently...,<i>Sway gently...</i>
