film_id,decade,file_path,start,end,text_clean,text_raw
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:00:14,480","00:00:17,200",Aradhana,Aradhana
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:07,320","00:02:10,280","In the eyes of the law, murder is the greatest of all crimes!","In the eyes of the law, murder is the greatest
of all crimes!"
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:10,640","00:02:14,120",And when a woman who gives birth to man takes a life...,"And when a woman who gives
birth to man takes a life..."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:14,240","00:02:16,240",...it becomes more heinous.,...it becomes more heinous.
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:16,320","00:02:19,120",And so I ask the court not to be lenient...,"And so I ask the court
not to be lenient..."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:19,520","00:02:21,280",...just because the accused is a woman.,"...just because
the accused is a woman."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:21,520","00:02:24,640",She should be punished severely to teach other people a lesson...,"She should be punished severely
to teach other people a lesson..."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:24,760","00:02:26,760",...and it will also serve to uphold the law.,"...and it will also serve
to uphold the law."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:30,160","00:02:31,960",Does the accused wish to say something in her defence?,"Does the accused wish to say
something in her defence?"
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:35,000","00:02:36,480",No.,No.
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:38,360","00:02:43,000","After considering all evidence, the court concludes that...","After considering all evidence,
the court concludes that..."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:44,000","00:02:47,320","...the accused, Vandana has committed murder with intention.","...the accused, Vandana has
committed murder with intention."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:48,360","00:02:51,480",And so according to section 302 of the Indian Penal Code...,"And so according to section 302
of the Indian Penal Code..."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:02:52,200","00:02:54,160",...the accused is sentenced to life imprisonment.,"...the accused is sentenced
to life imprisonment."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:08:44,720","00:08:48,000","- Father. - My dear, you've arrived!","- Father.
- My dear, you've arrived!"
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:08:49,560","00:08:51,680","- I hope that you are fine. - Yes, father.","- I hope that you are fine.
- Yes, father."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:08:52,000","00:08:54,160","Let's go. Porter, the luggage!","Let's go. Porter, the luggage!"
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:08:57,560","00:09:01,360",- You haven't sacked him as yet? - I have fired him several times.,"- You haven't sacked him as yet?
- I have fired him several times."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:02,080","00:09:05,520","But I can't help it, as he keeps coming back in tears.","But I can't help it, as he
keeps coming back in tears."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:11,680","00:09:14,360","- Tikaram! - I'm coming, sir.","- Tikaram!
- I'm coming, sir."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:14,760","00:09:16,720",Hurry up.,Hurry up.
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:18,760","00:09:20,720",Welcome home.,Welcome home.
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:22,240","00:09:24,320","Please hold this, sir.","Please hold this, sir."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:25,240","00:09:28,720","- What is this, Tikaram. - I want your blessings, miss.","- What is this, Tikaram.
- I want your blessings, miss."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:28,920","00:09:33,720",Before entering place your hand on my head and bless me.,"Before entering place your hand
on my head and bless me."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:34,120","00:09:39,080",I want to be here till time immemorial.,"I want to be here
till time immemorial."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:39,920","00:09:41,720",You've started buttering me as soon as I have come.,"You've started buttering me
as soon as I have come."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:41,880","00:09:44,760",Get up and go and fetch the bags from the car.,"Get up and go and fetch
the bags from the car."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:46,360","00:09:48,360","Let's go in, father.","Let's go in, father."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:51,040","00:09:53,760",Look at the state of this house. There's a nest here.,"Look at the state of this house.
There's a nest here."
aradhana,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Aradhana.srt,"00:09:54,120","00:09:56,080","Father, why don't you tell Tikaram anything?","Father, why don't
you tell Tikaram anything?"
