film_id,decade,file_path,start,end,text_clean,text_raw
baharen-phir-bhi-aayengi,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Baharen Phir Bhi Aayengi.srt,"00:03:30,535","00:03:33,811","Read the back-page in Jagriti? - Yes, and I'm wondering. . .","Read the back-page in Jagriti?
- Yes, and I'm wondering. . ."
baharen-phir-bhi-aayengi,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Baharen Phir Bhi Aayengi.srt,"00:03:33,895","00:03:39,253",how the news of the mines got to the presses despite Mr Das being in place,"how the news of the mines got to the
presses despite Mr Das being in place"
baharen-phir-bhi-aayengi,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Baharen Phir Bhi Aayengi.srt,"00:03:39,335","00:03:43,214",Got to thrash it out at the board meeting,"Got to thrash it out
at the board meeting"
baharen-phir-bhi-aayengi,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Baharen Phir Bhi Aayengi.srt,"00:03:56,695","00:03:58,287",Wait,Wait
baharen-phir-bhi-aayengi,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Baharen Phir Bhi Aayengi.srt,"00:04:03,735","00:04:09,605","Hello, my chest is a bit of an inconvenience for your umbrella","Hello, my chest is a bit of an
inconvenience for your umbrella"
baharen-phir-bhi-aayengi,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Baharen Phir Bhi Aayengi.srt,"00:04:12,975","00:04:16,091",Where's your friend? - My friend? Jiten. . . ?,"Where's your friend?
- My friend? Jiten. . . ?"
baharen-phir-bhi-aayengi,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Baharen Phir Bhi Aayengi.srt,"00:04:16,175","00:04:21,533",Where is he? - Returned to Calcutta yesterday,"Where is he?
- Returned to Calcutta yesterday"
baharen-phir-bhi-aayengi,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Baharen Phir Bhi Aayengi.srt,"00:04:21,615","00:04:24,652","Came directly to the office, after I left for the day","Came directly to the office,
after I left for the day"
baharen-phir-bhi-aayengi,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Baharen Phir Bhi Aayengi.srt,"00:04:24,815","00:04:27,807","Since then, no news","Since then, no news"
baharen-phir-bhi-aayengi,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Baharen Phir Bhi Aayengi.srt,"00:04:28,415","00:04:31,373",Umbrella ! On my foot,Umbrella ! On my foot
