film_id,decade,file_path,start,end,text_clean,text_raw
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:00:56,920","00:00:59,000","Sir, five female prisoners..","Sir, five female prisoners.."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:00:59,120","00:01:01,120",..have been transferred here from Jabalpur prison.,"..have been transferred
here from Jabalpur prison."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:01:05,520","00:01:06,600",Tulsi!,Tulsi!
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:01:08,160","00:01:09,800",Zubeida Bano!,Zubeida Bano!
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:01:10,800","00:01:12,320",Kalyani!,Kalyani!
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:01:18,520","00:01:19,680",Jamuna!,Jamuna!
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:01:20,760","00:01:22,000",Sukhiya!,Sukhiya!
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:04,720","00:03:05,840",Sir!,Sir!
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:06,000","00:03:10,760",Who's it? - This is Mahabal Singh!,"Who's it?
- This is Mahabal Singh!"
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:23,040","00:03:24,520",Greetings! - What's the matter?,"Greetings!
- What's the matter?"
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:24,840","00:03:26,760",There's some noise in the female ward.,There's some noise in the female ward.
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:26,840","00:03:27,920",Is it? - Yes.,"Is it?
- Yes."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:28,000","00:03:29,080","Wait, I'll get the key.","Wait, I'll get the key."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:30,840","00:03:33,000",We can't live here anymore! Open the door!,"We can't live here anymore!
Open the door!"
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:33,080","00:03:37,440",Let us out! - Quiet!,"Let us out!
- Quiet!"
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:37,520","00:03:39,320",Why can't you live here?,Why can't you live here?
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:39,400","00:03:42,120",We're scared of blood! - Stop!,"We're scared of blood!
- Stop!"
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:43,240","00:03:44,200",Stop!,Stop!
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:44,280","00:03:48,120",Open the door!,Open the door!
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:48,200","00:03:50,440",Quiet! The jailor's here!,Quiet! The jailor's here!
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:50,520","00:03:51,840",The jailor's here!,The jailor's here!
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:52,600","00:03:53,800","Greetings, sir.","Greetings, sir."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:03:57,120","00:04:00,080",The constable told me that someone's ill. - Yes.,"The constable told me
that someone's ill. - Yes."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:00,400","00:04:02,440",The old woman Ramdai vomited blood twice.,"The old woman Ramdai
vomited blood twice."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:02,640","00:04:04,640",That's why the rest of the women are very scared.,"That's why the rest of
the women are very scared."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:05,960","00:04:07,520",The doctor's here.,The doctor's here.
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:09,920","00:04:12,040",I'm sorry for being late.,I'm sorry for being late.
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:13,200","00:04:16,000","Who's ill? - Prisoner no. 8, Ramdai.","Who's ill?
- Prisoner no. 8, Ramdai."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:16,400","00:04:18,280",Today she vomited blood while coughing.,"Today she vomited
blood while coughing."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:18,840","00:04:20,240",Blood? - Yes.,"Blood?
- Yes."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:20,320","00:04:22,840","Come, Devendradra, let's take a look. - What'll you do in there?","Come, Devendradra, let's take a look.
- What'll you do in there?"
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:23,040","00:04:24,800",I'll go alone. - Hurry up.,"I'll go alone.
- Hurry up."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:25,000","00:04:26,800","If I stand here for long,","If I stand here for long,"
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:27,120","00:04:29,480",then even I'll have to be admitted in your hospital!,"then even I'll have to be
admitted in your hospital!"
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:35,200","00:04:36,320",Everyone leave.,Everyone leave.
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:44,280","00:04:47,400","I won't survive now, doctor. - Shut up!","I won't survive now, doctor.
- Shut up!"
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:50,520","00:04:53,400",Were you ill for a few nights previously? - Yes.,"Were you ill for a few
nights previously? - Yes."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:54,360","00:04:55,840",I'm very thirsty.,I'm very thirsty.
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:56,280","00:04:57,600",Get water.,Get water.
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:04:58,800","00:05:00,920","Don't worry, you'll be fine.","Don't worry, you'll be fine."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:06,640","00:05:09,040",What's wrong with her? - She's suffering from tuberculosis.,"What's wrong with her?
- She's suffering from tuberculosis."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:09,560","00:05:11,680",She'll have to be sent to the hospital ward.,"She'll have to be sent
to the hospital ward."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:11,880","00:05:14,920",Fine. The female hospital is empty.,Fine. The female hospital is empty.
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:15,160","00:05:17,560",But we'll need a nurse too.,But we'll need a nurse too.
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:23,440","00:05:24,840",Warden. - Yes.,"Warden.
- Yes."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:25,120","00:05:28,160",Just inquire if anyone of them is ready to serve her.,"Just inquire if anyone of
them is ready to serve her."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:28,240","00:05:31,400",Who'd like to be with that old woman?,Who'd like to be with that old woman?
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:31,480","00:05:34,080",They all are so scared after seeing her vomiting blood.,"They all are so scared after
seeing her vomiting blood."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:34,160","00:05:36,360",Ask them. - As you say.,"Ask them.
- As you say."
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:37,760","00:05:40,840",Is anyone of you ready to be with Ramdai?,"Is anyone of you
ready to be with Ramdai?"
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:44,480","00:05:45,800",Why are you quiet?,Why are you quiet?
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:46,600","00:05:47,600",I'm ready.,I'm ready.
bandini-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Bandini (1963).srt,"00:05:52,880","00:05:56,000",But she can't be with her. - Why?,"But she can't be with her.
- Why?"
