film_id,decade,file_path,start,end,text_clean,text_raw
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:02:35,235","00:02:38,227","Where are you running away? - No Mr.Khan, I am not running away.","Where are you running away?
- No Mr.Khan, I am not running away."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:02:39,639","00:02:42,972",I'II thought I'II go and work part time somewhere...,"I'II thought I'II go and work
part time somewhere..."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:02:43,243","00:02:46,644",and make a few annas so I can take home dinner for my chiIdren.,"and make a few annas so I can
take home dinner for my chiIdren."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:02:46,847","00:02:48,644",When wiII I get my money?,When wiII I get my money?
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:02:49,249","00:02:52,582","I pIead with you, give me some more time.","I pIead with you,
give me some more time."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:02:52,652","00:02:54,244",I cannot give you any more time.,I cannot give you any more time.
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:02:54,387","00:02:58,585","Mr.Khan, I swear by my kids, I wiII settIe your account...","Mr.Khan, I swear by my kids,
I wiII settIe your account..."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:02:58,658","00:03:00,250",when I get my this month's pay.,when I get my this month's pay.
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:03:00,327","00:03:02,261","CrueI man, you mentioned your kids again!","CrueI man,
you mentioned your kids again!"
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:03:02,329","00:03:05,662","You know, the mention of chiIdren meIts my heart.","You know, the mention of chiIdren
meIts my heart."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:03:06,266","00:03:09,599",How is your daughter? - She is fine.,"How is your daughter?
- She is fine."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:03:10,203","00:03:13,195",The IittIe girI manages the entire home.,"The IittIe girI
manages the entire home."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:03:22,616","00:03:25,608","Sis, I'm coming. - Where are you going?","Sis, I'm coming.
- Where are you going?"
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:03:26,219","00:03:28,619",I'II be back soon. - But where are you going?,"I'II be back soon.
- But where are you going?"
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:03:33,226","00:03:35,217","Go Ramu, I'II heIp her.","Go Ramu, I'II heIp her."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:03:45,639","00:03:50,235","Aunt, better Ieave. If LaIa sees you here, he'II be very angry.","Aunt, better Ieave. If LaIa
sees you here, he'II be very angry."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:03:50,310","00:03:52,642",Nothing wiII happen. You go see what he wants.,"Nothing wiII happen.
You go see what he wants."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:03:59,653","00:04:01,245",Where is your father?,Where is your father?
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:04:01,321","00:04:03,653",He hasn't returned from the factory yet.,"He hasn't returned
from the factory yet."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:04:04,257","00:04:05,986",But the factory siren went off Iong ago,"But the factory siren
went off Iong ago"
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:04:06,259","00:04:08,591","Okay, when he comes, ask him to do one of the two.","Okay, when he comes,
ask him to do one of the two."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:04:09,195","00:04:11,595","Either pay the rent, or vacate the house.","Either pay the rent,
or vacate the house."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:04:11,698","00:04:12,687",I'II teII him.,I'II teII him.
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:04:13,800","00:04:16,200",Both can be done. I have toId you severaI times...,"Both can be done.
I have toId you severaI times..."
beti-bete-1964-xvid-2cd-eng-subs-ddr,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Beti Bete (1964) Xvid 2cd_Eng Subs [DDR].srt,"00:04:16,269","00:04:19,204","make him vacate the house, and take the rent from me.","make him vacate the house,
and take the rent from me."
