film_id,decade,file_path,start,end,text_clean,text_raw
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:03:38,885","00:03:41,593",What are you doing? Why do you stare at women?,"What are you doing?
Why do you stare at women?"
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:03:41,855","00:03:44,631","If some day there's a fight, both of us will get thrashed!","If some day there's a fight,
both of us will get thrashed!"
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:03:44,825","00:03:48,705",Sameeran had asked me to meet her here. I'm looking for her.,"Sameeran had asked me to meet
her here. I'm looking for her."
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:03:49,730","00:03:51,710",-Excuse me... -Is this a joke?,"-Excuse me...
-Is this a joke?"
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:04:07,214","00:04:09,524",Where are you going? Return the wallet!,"Where are you going?
Return the wallet!"
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:04:12,152","00:04:14,257","Son, why did you beat him?","Son, why did you beat him?"
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:04:14,521","00:04:16,728",For this. It's yours.,For this. It's yours.
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:04:19,159","00:04:20,604",Good grief! My money!,Good grief! My money!
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:04:24,831","00:04:30,406",May he be ruined! This is what he did under the pretext of begging!,"May he be ruined! This is what he
did under the pretext of begging!"
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:04:31,438","00:04:33,475",Give him two more blows on my behalf.,"Give him two more blows
on my behalf."
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:04:33,673","00:04:35,311",Spare him. He's a poor man.,Spare him. He's a poor man.
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:04:38,578","00:04:39,955",Thank you.,Thank you.
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:04:50,190","00:04:53,763",-Where are you? -Goodness gracious.,"-Where are you?
-Goodness gracious."
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:04:55,796","00:04:58,777",May Lucknow always prosper.,May Lucknow always prosper.
chaudhvin-ka-chand,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/chaudhvin_ka_chand.srt,"00:05:00,333","00:05:03,041",You do always find a good face.,You do always find a good face.
