film_id,decade,file_path,start,end,text_clean,text_raw
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:00,804","00:00:02,324",You Tube - Video Running Time 02:30:35,You Tube - Video Running Time 02:30:35
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:02,604","00:00:07,484",You Tube search name - Do Raaste Rajesh Khanna I Mumtaz I Balraj Sahani I Prem Chopra - Superhit Hindi Movie,"You Tube search name - Do Raaste (1969) (HD) Rajesh Khanna I
Mumtaz I Balraj Sahani I Prem Chopra - Superhit Hindi Movie"
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:17,114","00:00:19,076","Prince College Hostel, London.","Prince College Hostel, London."
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:19,973","00:00:22,548","Respected brother, you will be glad to know that..","Respected brother,
you will be glad to know that.."
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:22,589","00:00:26,359",I have passed the final year of engineering with 1st rank.,"I have passed the final
year of engineering with 1st rank."
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:29,715","00:00:31,916",I think this is the result of the blessings of you all..,"I think this is the result
of the blessings of you all.."
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:31,941","00:00:33,541",More than my own hard work.,More than my own hard work.
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:34,148","00:00:35,751",I am thousands of miles far from you.,I am thousands of miles far from you.
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:35,792","00:00:38,035",But you all are in front of my eyes.,But you all are in front of my eyes.
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:39,137","00:00:41,097",You must be sitting on your bed in your room.,"You must be sitting
on your bed in your room."
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:41,487","00:00:43,977",Mother must be sitting opposite you.,Mother must be sitting opposite you.
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:45,521","00:00:47,233",A young girl must be sitting in her lap..,A young girl must be sitting in her lap..
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:47,332","00:00:48,700",Whose teeth are cut off by rats.,Whose teeth are cut off by rats.
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:48,724","00:00:53,679",Hey! How did uncle know that the rats have cut off my teeth?,"Hey! How did uncle know that
the rats have cut off my teeth?"
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:57,070","00:00:59,648",And there must be a monkey sitting beside you..,"And there must be a
monkey sitting beside you.."
do-raaste-1969,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Do Raaste - 1969.srt,"00:00:59,689","00:01:02,432",Trying to read the letter and whose name is..,"Trying to read the
letter and whose name is.."
