film_id,decade,file_path,start,end,text_clean,text_raw
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:00:53,189","00:01:00,089",FRIENDS,FRIENDS
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:04:08,790","00:04:12,419","Mom, how was your health today?","Mom, how was your health today?"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:04:17,549","00:04:19,176",I alone made three goals - Really?,"I alone made three goals
- Really?"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:04:19,718","00:04:21,929",Look I got the award for best man of the game,"Look I got the award for best
man of the game"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:04:22,387","00:04:25,724",Its very nice - All the guys carried me here on their shoulders,"Its very nice
- All the guys carried me here on their shoulders"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:04:26,850","00:04:31,104",You should have been there,You should have been there
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:04:31,396","00:04:32,648",My good son,My good son
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:04:34,608","00:04:38,570","Why are you getting out of bed? What ever you need, I'll do it","Why are you getting out of bed?
What ever you need, I'll do it"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:04:51,375","00:04:53,377",What did you ask god?,What did you ask god?
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:04:54,795","00:04:58,882",What should I say? - I say it everyday but god doesn't listen to me,"What should I say?
- I say it everyday but god doesn't listen to me"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:04:59,299","00:05:04,054","What? I say, Lord please take away our pain and sorrow.","What?
I say, Lord please take away our pain and sorrow."
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:04,847","00:05:09,852",...let me grow quickly get a good paying job to take care of my mother,"...let me grow quickly get a good
paying job to take care of my mother"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:10,561","00:05:13,981",I'll get happy when you get a job? - You won't?,"I'll get happy when you get a job?
- You won't?"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:14,815","00:05:15,732",Than?,Than?
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:16,984","00:05:18,485",What do I have to do to keep you happy?,What do I have to do to keep you happy?
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:19,736","00:05:20,612",Tell me mom,Tell me mom
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:22,322","00:05:25,617","No matter how hard it is, I will do it. Tell me","No matter how hard it is,
I will do it. Tell me"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:27,703","00:05:29,246",Will you do it?,Will you do it?
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:29,830","00:05:31,206","Ofcourse, just say it","Ofcourse, just say it"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:31,957","00:05:36,253",Do you know what a mother wants from her son? - What?,"Do you know what a mother wants
from her son? - What?"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:37,588","00:05:47,014","Not money, wealth, or a good job. She wants to be proud of her son...","Not money, wealth, or a good job.
She wants to be proud of her son..."
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:05:48,640","00:06:00,694","just like the mothers of the presidents and the ancestors, I too want to be a mother","just like the mothers of the presidents and
the ancestors, I too want to be a mother"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:06:02,821","00:06:07,659",Would you be able to get me that respect. Would you do those things when you get older?,"Would you be able to get me that respect.
Would you do those things when you get older?"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:06:08,327","00:06:14,958",Ofcourse I will. I promise to do all those things to make you proud,"Ofcourse I will. I promise to do all those
things to make you proud"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:06:19,796","00:06:21,465",Live long my son,Live long my son
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:06:25,719","00:06:29,056","Mom, you have a very high fever. Please lay down","Mom, you have a very high fever.
Please lay down"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:06:30,724","00:06:32,809","Okay son, you go study","Okay son, you go study"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:06:34,311","00:06:40,317",I'm tired today. I will study tomorrow - No don't skip out on studying,"I'm tired today. I will study tomorrow
- No don't skip out on studying"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:06:40,817","00:06:46,198",This is the first step to fulfilling my am. You must study and become a respectable per,"This is the first step to fulfilling my
am. You must study and become a respectable per"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:06:48,700","00:06:50,536","Okay mom, you lay down","Okay mom, you lay down"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:07,970","00:07:12,683",Did you know how worried the doctor was for you today?,"Did you know how worried the doctor
was for you today?"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:13,767","00:07:14,476",What did he say?,What did he say?
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:14,852","00:07:18,230",He said you need full rest. You shouldn't walk around that much,"He said you need full rest.
You shouldn't walk around that much"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:18,981","00:07:22,734",You don't get out of bed and do anything. L will do everything when I get home,"You don't get out of bed and do anything.
L will do everything when I get home"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:23,026","00:07:25,696","Okay go, its time for you school","Okay go, its time for you school"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:25,988","00:07:30,868","I have made your medicine, take it every 2 hours","I have made your medicine, take
it every 2 hours"
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:31,618","00:07:34,997",If I come home and see that you haven't drank your medicine than...,"If I come home and see that you
haven't drank your medicine than..."
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:38,125","00:07:38,709",They are right here,They are right here
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:41,587","00:07:42,838",Oh they are here,Oh they are here
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:48,385","00:07:52,431",No letter has come from father's company,No letter has come from father's company
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:07:53,599","00:07:54,183",It's been so many days and they...,It's been so many days and they...
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:08:00,522","00:08:01,982",They will send the money,They will send the money
dosti,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Dosti.srt,"00:08:03,400","00:08:07,613",They know you father passed away while working for that company...,"They know you father passed away
while working for that company..."
