film_id,decade,file_path,start,end,text_clean,text_raw
ek-phool-do-mali-eng,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Ek Phool Do Mali-eng.srt,"00:01:16,543","00:01:23,005","""Mr. Kailash, sorry we could"" save neither mother nor child","""Mr. Kailash, sorry we could""
save neither mother nor child"
ek-phool-do-mali-eng,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Ek Phool Do Mali-eng.srt,"00:01:53,480","00:01:59,441",It's so tragic. His wife and child died.,"It's so tragic. His
wife and child died."
ek-phool-do-mali-eng,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Ek Phool Do Mali-eng.srt,"00:01:59,986","00:02:05,219",- And nature tricks him. - But he'll be well in a month,"- And nature tricks him.
- But he'll be well in a month"
ek-phool-do-mali-eng,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Ek Phool Do Mali-eng.srt,"00:02:05,658","00:02:07,990",- He will be well but... - What?,"- He will be well but...
- What?"
ek-phool-do-mali-eng,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Ek Phool Do Mali-eng.srt,"00:02:08,495","00:02:10,258",He won't be able to marry.,He won't be able to marry.
ek-phool-do-mali-eng,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Ek Phool Do Mali-eng.srt,"00:02:13,500","00:02:17,459",He can never father a child.,He can never father a child.
ek-phool-do-mali-eng,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Ek Phool Do Mali-eng.srt,"00:02:44,564","00:02:47,089","""My son, peace can only"" be found with in the heart.","""My son, peace can only""
be found with in the heart."
ek-phool-do-mali-eng,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Ek Phool Do Mali-eng.srt,"00:02:48,134","00:02:53,094",The restless heart seeks peace in nature.,"The restless heart
seeks peace in nature."
ek-phool-do-mali-eng,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Ek Phool Do Mali-eng.srt,"00:02:54,140","00:02:58,873",Our sages seek refuge in the Himalayas to attain peace.,"Our sages seek refuge in
the Himalayas to attain peace."
ek-phool-do-mali-eng,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Ek Phool Do Mali-eng.srt,"00:03:00,146","00:03:02,580",The Himalayan range is a still sea of tranquility.,"The Himalayan range is a
still sea of tranquility."
