film_id,decade,file_path,start,end,text_clean,text_raw
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:00:18,785","00:00:20,753","All right Mr. Raju, congratulations... for your release","All right Mr. Raju, congratulations...
for your release"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:00:21,021","00:00:22,249","Jailer sir, thank you so much","Jailer sir, thank you
so much"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:00:36,503","00:00:37,265","Raju, look over there-","Raju, look over there-"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:00:41,474","00:00:51,406","Your city, your house, your life, your happiness, your memories.","Your city, your house, your life,
your happiness, your memories."
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:00:55,522","00:00:57,683","Mother, quickly serve food for me, I am feeling very hungry","Mother, quickly serve food for me,
I am feeling very hungry"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:00:59,526","00:01:02,620","What's this, eat properly like humans, first go freshen up","What's this, eat properly like
humans, first go freshen up"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:02,829","00:01:03,454","Mother, the vehicle is coming","Mother, the vehicle is coming"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:03,830","00:01:04,626",The vehicles will keep coming and going-,"The vehicles will keep coming
and going-"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:04,831","00:01:05,456",Come lets see how fast this taxi takes us to the station?,"Come lets see how fast this taxi
takes us to the station?"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:05,832","00:01:07,697",Are you going to think about the shop or not? -,"Are you going to think about
the shop or not? -"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:08,168","00:01:10,295","You've given it in the hands of the boy he""ll ruin it","You've given it in the hands
of the boy he""ll ruin it"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:11,337","00:01:14,135","Poor father, toiled and died after leaving a shop for his son-","Poor father, toiled and died after
leaving a shop for his son-"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:14,340","00:01:16,137",And he is head over heels of becoming a Guide,"And he is head over heels
of becoming a Guide"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:16,676","00:01:20,305","Mother from Delhi, Calcutta, Bombay, Madras, Singapore, London, Rome & Hongkong","Mother from Delhi, Calcutta, Bombay,
Madras, Singapore, London, Rome & Hongkong"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:20,513","00:01:22,640","Any tourist after getting down at the station, what he asks is","Any tourist after getting down at
the station, what he asks is"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:23,183","00:01:26,584","Where is Raju guide, where is... I am coming...","Where is Raju guide, where is...
I am coming..."
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:27,620","00:01:29,315","Mother, its for Gafoor","Mother, its for
Gafoor"
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:29,889","00:01:31,481","Raju, again...","Raju, again..."
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:34,561","00:01:35,721",Enough. Enough. Enough...,Enough. Enough. Enough...
guide-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Guide (2).srt,"00:01:36,696","00:01:39,995","Friend, the throat of the car will get choked, here take your share","Friend, the throat of the car will
get choked, here take your share"
