film_id,decade,file_path,start,end,text_clean,text_raw
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:02:09,459","00:02:12,121","Are you going to Srinagar? - No, to Ladakh.","Are you going to Srinagar?
- No, to Ladakh."
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:02:12,695","00:02:15,687",For the first time? - Yes. How is the place?,"For the first time?
- Yes. How is the place?"
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:02:17,200","00:02:18,690",l don't like it.,l don't like it.
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:02:47,497","00:02:52,491",Are you too going to Ladakh? - Yes. But first l'll go to Srinagar.,"Are you too going to Ladakh?
- Yes. But first l'll go to Srinagar."
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:02:53,202","00:02:54,999",Will you stay there? - No.,"Will you stay there?
- No."
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:02:55,171","00:02:58,140","As soon as l reach Srinagar, l'll take the air force plane for Ladakh.","As soon as l reach Srinagar, l'll
take the air force plane for Ladakh."
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:04:45,615","00:04:49,847","Why are you so sad, Ramsingh?","Why are you so sad, Ramsingh?"
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:04:53,756","00:04:55,621",l took leave to marry.,l took leave to marry.
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:04:57,627","00:05:00,824","Are you sad due to the wedding, or on being seperated from your wife?","Are you sad due to the wedding, or
on being seperated from your wife?"
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:05:02,164","00:05:04,632",l did not get married.,l did not get married.
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:05:05,434","00:05:07,925",Did you fight with the girl's father?,"Did you fight with
the girl's father?"
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:05:08,638","00:05:14,042",No. l had a fight with the girl.,No. l had a fight with the girl.
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:05:28,457","00:05:33,451",lt is an ill-omen to meet the girl before marriage.,"lt is an ill-omen to meet
the girl before marriage."
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:05:35,131","00:05:39,329",Why did you come? - l couldn't resist.,"Why did you come?
- l couldn't resist."
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:05:39,802","00:05:45,672",So impatient? We have all the time after marriage.,"So impatient?
We have all the time after marriage."
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:05:46,409","00:05:48,969",l have to leave for duty immediately after marriage.,"l have to leave for duty
immediately after marriage."
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:05:49,478","00:05:53,346","But, we will be together. - The wife is not allowed.","But, we will be together.
- The wife is not allowed."
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:05:54,684","00:05:57,346",How long will you be away? - A year and a half.,"How long will you be away?
- A year and a half."
haqeeqat-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Haqeeqat 1964.srt,"00:05:58,854","00:06:00,344",What?,What?
