film_id,decade,file_path,start,end,text_clean,text_raw
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:00:11,031","00:00:17,031",Subtitle synced by Grace.,<i>Subtitle synced by Grace.</i>
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:00:43,055","00:00:45,521",- The groom's here. - Really? Let's go and see him.,"- The groom's here.
- Really? Let's go and see him."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:03,467","00:01:07,629","Madhu, take this. A gift for you.","Madhu, take this.
A gift for you."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:08,788","00:01:12,640",Your love letters. Just returning the memories of the days gone by.,"Your love letters. Just returning
the memories of the days gone by."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:13,864","00:01:17,682","Because out of jealousy, this hurt mind may not do something bad.","Because out of jealousy, this hurt
mind may not do something bad."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:18,802","00:01:23,284",I've no right over you from today. You belong to somebody else now.,"I've no right over you from today.
You belong to somebody else now."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:24,435","00:01:30,446","But when you go around the holy fire, with your husband...","But when you go around the
holy fire, with your husband..."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:30,520","00:01:35,073","...think this to be a funeral pyre of my love. Yours, Kailash.","...think this to be a funeral
pyre of my love. Yours, Kailash."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:36,919","00:01:39,207","No, Kailash. No!","No, Kailash. No!"
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:40,388","00:01:43,612",Why not? I haven't wetted my throat as yet.,"Why not? I haven't
wetted my throat as yet."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:45,047","00:01:49,765",- Want to drown your sorrow? - Sorrow? What sorrow?,"- Want to drown your sorrow?
- Sorrow? What sorrow?"
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:51,445","00:01:53,947","Your Madhavi is marrying somebody else today, isn't she?","Your Madhavi is marrying
somebody else today, isn't she?"
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:01:58,678","00:02:02,745",I've enjoyed and sent packing countless such girls in my life.,"I've enjoyed and sent packing
countless such girls in my life."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:02:04,556","00:02:10,388",I regret just one thing. I lost access to her uncle's wealth.,"I regret just one thing. I lost
access to her uncle's wealth."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:02:12,136","00:02:15,289",So you wish to burn this ache with the fiery embers of liquor?,"So you wish to burn this ache
with the fiery embers of liquor?"
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:02:18,395","00:02:23,742",The fire that I ignite... I know how to douse it too.,"The fire that I ignite...
I know how to douse it too."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:02:26,054","00:02:28,069",Let me go. What are you doing?,"Let me go.
What are you doing?"
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:02:41,076","00:02:42,727",Who can it be so late in the night?,"Who can it be so late
in the night?"
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:02:56,994","00:03:01,333","- I'm back, Kailash. - But, you were to wed today!","- I'm back, Kailash.
- But, you were to wed today!"
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:03:01,827","00:03:07,272","Yes, but I threw all the social norms to the wind, and ran away.","Yes, but I threw all the social
norms to the wind, and ran away."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:03:09,095","00:03:13,956",- Why did you do that? - I didn't... your love did it.,"- Why did you do that?
- I didn't... your love did it."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:03:14,945","00:03:20,221",Your letter gave me such confidence that before entering the pandal...,"Your letter gave me such confidence
that before entering the pandal..."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:03:20,300","00:03:23,976",...I came to you. Burning my boats!,"...I came to you.
Burning my boats!"
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:03:25,308","00:03:26,923",You shouldn't have done that.,You shouldn't have done that.
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:03:29,685","00:03:33,811",Your uncle will never forgive you for this blunder you've committed.,"Your uncle will never forgive you
for this blunder you've committed."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:03:34,553","00:03:38,821",You've done this impulsively. Better leave me alone and go back.,"You've done this impulsively.
Better leave me alone and go back."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:03:39,595","00:03:43,899",This will be better for us. - Please don't say that.,"This will be better for us.
- Please don't say that."
kati-patang-1970,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Kati.Patang.1970.srt,"00:03:44,846","00:03:49,186","I'll be better off here, loving you all my life.","I'll be better off here,
loving you all my life."
