film_id,decade,file_path,start,end,text_clean,text_raw
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:02:47,576","00:02:49,886",Anwar Hussain is bound to win tonight's poetry competition.,"Anwar Hussain is bound to win
tonight's poetry competition."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:02:50,579","00:02:53,219",I'm willing to bet anything from Rs.1 to RsJOO.,"I'm willing to bet anything
from Rs.1 to RsJOO."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:02:53,549","00:02:56,223",You're on for a bet. You're my witnesses.,"You're on for a bet.
You're my witnesses."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:02:58,587","00:03:02,660",Lala Rastogi will win the gold medal this year.,"Lala Rastogi will win the
gold medal this year."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:03,826","00:03:07,035",Are you embarrassed to call me Ghayal ?,"Are you embarrassed to
call me Ghayal ?"
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:07,296","00:03:09,572","I'm a poet, you know. No ordinary one.","I'm a poet, you know.
No ordinary one."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:10,132","00:03:12,942","If I don't win, GhayaPs not my name.","If I don't win,
GhayaPs not my name."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:13,436","00:03:18,010",But I won't win. Because Anwar's my friend.,"But I won't win.
Because Anwar's my friend."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:18,374","00:03:21,150",Did that penetrate your brain ? - You penetrated our group.,"Did that penetrate your brain ?
- You penetrated our group."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:21,410","00:03:24,186",I'm sorry. I'm off now.,I'm sorry. I'm off now.
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:39,261","00:03:42,265",All the girls are talking about you.,"All the girls are talking
about you."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:42,732","00:03:48,239",Everyone says that you will win the Urdu poetry competition his year.,"Everyone says that you will win the
Urdu poetry competition his year."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:49,171","00:03:53,313","Pal, if you want to win recite your poem to me.","Pal, if you want to win
recite your poem to me."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:53,542","00:03:57,684",And get Binda Din GhayaPs expert opinion.,"And get Binda Din GhayaPs
expert opinion."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:03:58,781","00:04:00,317","Ghayal, tonight's poetry competition ?","Ghayal, tonight's poetry
competition ?"
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:00,516","00:04:02,553",I don't have a single poem to recite.,"I don't have a single poem
to recite."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:02,985","00:04:05,261",Not a single poem ? Why ever not ?,"Not a single poem ?
Why ever not ?"
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:11,327","00:04:13,671",My heart and my brain just haven't been obeying me.,"My heart and my brain just
haven't been obeying me."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:14,830","00:04:16,400",I was awake all night.,I was awake all night.
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:16,599","00:04:20,172",I see. As usual you must have eaten too much.,"I see. As usual you must have
eaten too much."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:20,402","00:04:22,313",And now you must have a stomach ache.,"And now you must have a
stomach ache."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:22,438","00:04:24,884",You idiot. Not a stomach ache. A heart ache.,"You idiot. Not a stomach ache.
A heart ache."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:26,242","00:04:30,088",You knowl haven't found the girl in purdah yet.,"You knowl haven't found
the girl in purdah yet."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:31,147","00:04:33,354",The college will close for the holidays today.,"The college will close for
the holidays today."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:33,849","00:04:36,056",Everyone will go home. So will she.,"Everyone will go home.
So will she."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:37,753","00:04:40,962",My friend. Think of something so I can find her.,"My friend. Think of something
so I can find her."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:41,190","00:04:44,569",Listen. Everyone knows...,"Listen.
Everyone knows..."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:44,693","00:04:47,833",You'll will be reciting a poem at the contest tonight.,"You'll will be reciting a
poem at the contest tonight."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:47,997","00:04:50,944",If she loves you,If she loves you
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:51,100","00:04:54,673",She's bound to come to see you tonight.,"She's bound to come to
see you tonight."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:04:55,771","00:05:03,212",Recite a poem. In which you address your beloved,"Recite a poem. In which you
address your beloved"
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:05:03,379","00:05:05,416",And reveal your heart to her.,And reveal your heart to her.
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:05:05,548","00:05:10,998",Tell her you weep for her. You're dying for her.,"Tell her you weep for her.
You're dying for her."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:05:11,153","00:05:13,690",Present yourself at the poetry contest.,"Present yourself at the
poetry contest."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:05:13,856","00:05:15,665",The contest will end. You wish will be fulfilled.,"The contest will end.
You wish will be fulfilled."
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:05:15,791","00:05:17,793",But where's the time to compose a poem ?,"But where's the time to
compose a poem ?"
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:05:17,927","00:05:20,134",There are 2 hours yet.,There are 2 hours yet.
mere-mehboob-1963,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mere Mehboob (1963).srt,"00:05:20,262","00:05:25,109",Where there's a will there's a way.,"Where there's a will
there's a way."
