film_id,decade,file_path,start,end,text_clean,text_raw
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:03:39,875","00:03:41,934",I am Hindustan,I am Hindustan
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:03:43,145","00:03:46,239",The Himalayas watch over my borders,"The Himalayas
watch over my borders"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:03:47,149","00:03:50,243",The waters of the holy Ganges I have sworn by,"The waters of the holy Ganges
I have sworn by"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:03:51,153","00:03:54,816","Since the beginning of time, darkness and light...","Since the beginning of time,
darkness and light..."
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:03:55,157","00:03:57,148",have been my companions,have been my companions
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:03:58,093","00:04:00,823",The foundations of marbled monuments that rise from my ashes...,"The foundations of marbled monuments
that rise from my ashes..."
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:04:01,163","00:04:05,827",lie embedded in deeper depths than of Earth herself,"lie embedded in deeper depths
than of Earth herself"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:04:06,168","00:04:11,470",I was plundered by barbarians and saved by the merciful,"I was plundered by barbarians
and saved by the merciful"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:04:12,040","00:04:19,173",The unwise tied me in chains. Those who loved me have freed me,"The unwise tied me in chains.
Those who loved me have freed me"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:04:20,182","00:04:27,520","Of those who loved this land, one was Jalal-ud-din Mohammad Akbar","Of those who loved this land,
one was Jalal-ud-din Mohammad Akbar"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:04:28,223","00:04:34,287",Akbar transcended the barriers of religion and tradition,"Akbar transcended the barriers
of religion and tradition"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:04:34,896","00:04:41,358",He taught man to love his fellow man. Thus he embraced this country,"He taught man to love his fellow man.
Thus he embraced this country"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:04:42,204","00:04:47,198",This is Emperor Akbar's palace,This is Emperor Akbar's palace
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:04:48,210","00:04:54,615",In this palace live stories of the past,"In this palace live
stories of the past"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:04:55,217","00:05:03,352","Some four centuries ago, far from this grand palace...","Some four centuries ago,
far from this grand palace..."
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:05:04,926","00:05:13,231",a man walked through the burning sands of the sunswept desert barefoot,"a man walked through the burning sands
of the sunswept desert barefoot"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:05:13,935","00:05:19,896",This man who walks alone is Emperor Akbar,"This man who walks alone
is Emperor Akbar"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:05:22,244","00:05:30,811","There is sadness in his eyes, for he has not yet fathered an heir","There is sadness in his eyes,
for he has not yet fathered an heir"
mughal-e-azam-1960,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Mughal-E-Azam (1960).srt,"00:05:31,853","00:05:42,252","Akbar is travelling to meet the Holy One, Salimuddin Chisti","Akbar is travelling to meet
the Holy One, Salimuddin Chisti"
