film_id,decade,file_path,start,end,text_clean,text_raw
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:01:20,812","00:01:22,780",Don't forget to wish the lawyer.,"Don't forget to wish
the lawyer."
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:01:24,549","00:01:27,450","""Come here, Nathu."" ""- Yes, sir.""","""Come here, Nathu.""
""- Yes, sir."""
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:01:34,092","00:01:35,787",You're so very late!,You're so very late!
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:01:36,094","00:01:38,119","""l'm hungry. Let's go, Gopal."" ""- Come on, Sunder.""","""l'm hungry. Let's go, Gopal.""
""- Come on, Sunder."""
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:01:41,833","00:01:45,792",Sunder hit Gopal and he's bleeding.,"Sunder hit Gopal and
he's bleeding."
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:01:48,372","00:01:50,340",They're fighting again.,They're fighting again.
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:01:50,842","00:01:53,470",Will you say that again? - Yes.,"Will you say that again?
- Yes."
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:01:53,845","00:01:55,813","""What happened, Gopal?""","""What happened, Gopal?"""
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:01:56,848","00:01:59,817","Did Sunder hit you? ""- No, father.""","Did Sunder hit you?
""- No, father."""
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:02:01,385","00:02:03,819",l fell on a stone and started bleeding.,"l fell on a stone
and started bleeding."
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:02:04,122","00:02:05,487",But Radha said Sunder hit you.,But Radha said Sunder hit you.
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:02:06,157","00:02:08,489",She's lying. - Yes he did! He did hit him!,"She's lying.
- Yes he did! He did hit him!"
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:02:08,860","00:02:10,828","""Shut up, Radha!"" When did he hit me?","""Shut up, Radha!""
When did he hit me?"
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:02:11,129","00:02:12,619","""She's lying, father!""","""She's lying, father!"""
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:02:12,997","00:02:15,830","""Well done, my son.""","""Well done, my son."""
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:02:16,467","00:02:20,426",You're bleeding but you won't tattle on your friend.,"You're bleeding but you won't
tattle on your friend."
sangam-english-subs,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sangam English subs.srt,"00:02:32,550","00:02:36,247","""Look, Radha. l've built a house"" big enough for Gopal too.","""Look, Radha. l've built a house""
big enough for Gopal too."
