film_id,decade,file_path,start,end,text_clean,text_raw
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:02:58,611","00:03:03,993","Satyakam's story is all about truth, love, conscience and fearlessness","Satyakam's story is all about truth,
love, conscience and fearlessness"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:05,218","00:03:09,360","Satyakam, the character in our ancient texts, The Upanishads...","Satyakam, the character in our
ancient texts, The Upanishads..."
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:10,156","00:03:15,367","Approaches Goutam the Guru, seeking to be his disciple","Approaches Goutam the Guru,
seeking to be his disciple"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:17,163","00:03:19,803","The Guru asks him, to which family do you belong?","The Guru asks him,
to which family do you belong?"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:20,200","00:03:23,204","Satyakam says, I asked my Mother","Satyakam says,
I asked my Mother"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:23,603","00:03:26,846",My Mother has told me that she has served many before she begot me,"My Mother has told me that she has
served many before she begot me"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:27,207","00:03:31,587","She says, I do not know your father's name. But I am Jabala","She says, I do not know your
father's name. But I am Jabala"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:32,245","00:03:35,920","So your name is Satyakam, the son of Jabala","So your name is Satyakam,
the son of Jabala"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:36,916","00:03:40,090","The sage embraced Satyakam, and he said...","The sage embraced Satyakam,
and he said..."
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:40,453","00:03:42,433","""You are the true Brahmin, enlightened because...""","""You are the true Brahmin,
enlightened because..."""
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:42,789","00:03:45,099","""you have the courage to speak the truth""","""you have the courage
to speak the truth"""
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:45,792","00:03:49,604","That story was told ages ago. Now, listen to our story","That story was told ages ago.
Now, listen to our story"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:50,597","00:03:54,477","Many years ago, a young man set out in quest of God","Many years ago, a young man
set out in quest of God"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:03:55,301","00:03:59,477","When he reached the foothills of the sacred Himalayas, he heard a command","When he reached the foothills of the
sacred Himalayas, he heard a command"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:00,006","00:04:03,954","""Upon the path for the quest of truth you shall find God""","""Upon the path for the quest of truth
you shall find God"""
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:05,245","00:04:08,283",Young Satyanarayan Acharya settled down in...,"Young Satyanarayan Acharya
settled down in..."
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:08,648","00:04:15,623","A village named Saptaparni, to spread this word. Here, he set up school","A village named Saptaparni, to spread
this word. Here, he set up school"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:16,589","00:04:19,832",Our story is about this family of Acharyas,"Our story is about this family
of Acharyas"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:21,060","00:04:24,837",Every heir of the family carried the name Satya,"Every heir of the family carried
the name Satya (Truth)"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:25,698","00:04:32,673",Theirs was a creed founded in principle and practice on the quest for truth,"Theirs was a creed founded in principle
and practice on the quest for truth"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:34,007","00:04:37,284",Not even in their dreams would they stray from the truth,"Not even in their dreams would
they stray from the truth"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:37,677","00:04:42,683","And no insult for them could be worse, than being blamed of having lied","And no insult for them could be worse,
than being blamed of having lied"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:43,549","00:04:48,294","One of them Satyapriya, used to be my class-mate","One of them Satyapriya,
used to be my class-mate"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:49,522","00:04:53,095",His mother died in childbirth,His mother died in childbirth
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:53,693","00:04:57,505",His father renounced the worldly life and went away to become a monk,"His father renounced the worldly life
and went away to become a monk"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:04:58,531","00:05:06,279","Grandfather Satyasaran brought up the orphan lovingly, caringly","Grandfather Satyasaran brought up
the orphan lovingly, caringly"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:07,540","00:05:10,646",I met Satyapriya in Engineering College,"I met Satyapriya in
Engineering College"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:11,244","00:05:13,485","Gradually, I developed a liking for him","Gradually, I developed
a liking for him"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:14,280","00:05:18,490","At the hostel, we shared the same room ...and the same dreams","At the hostel, we shared the same room
...and the same dreams"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:19,519","00:05:24,491",Satyapriya goes back to those days...,Satyapriya goes back to those days...
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:25,258","00:05:29,001",In 1946... our country was still enslaved,"In 1946... our country
was still enslaved"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:30,330","00:05:34,540","Our exams over, we were waiting for our results. On our last day...","Our exams over, we were waiting for
our results. On our last day..."
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:35,101","00:05:39,572",Prof Sen was making the valedictory speech in the college,"Prof Sen was making
the valedictory speech in the college"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:40,139","00:05:42,119",You are going to become engineers,You are going to become engineers
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:42,475","00:05:47,754","Your education, your skills, aren't merely for making a living","Your education, your skills,
aren't merely for making a living"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:48,181","00:05:52,561",I hope you will use it as a way of life,"I hope you will use it
as a way of life"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:53,019","00:05:55,932","In college, you have seen the Bucker machine","In college, you have seen
the Bucker machine"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:05:56,289","00:06:01,898",You have seen how the machine how the machine splices steel,"You have seen how the machine
how the machine splices steel"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:03,529","00:06:12,540",Many a times you will feel that life is a BUCKER machine...,"Many a times you will feel
that life is a BUCKER machine..."
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:12,905","00:06:15,545",And you are the steel being spliced. - Excuse me silt..,"And you are the steel being spliced.
- Excuse me silt.."
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:17,243","00:06:20,884",Man is not steel. Man is many more times stronger than steel,"Man is not steel. Man is many more
times stronger than steel"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:23,683","00:06:27,096",I pray to God that you will be able to prove that,"I pray to God that you will be able
to prove that"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:27,587","00:06:32,900","This courage, this confidence is the greatest wealth of a free nation","This courage, this confidence is
the greatest wealth of a free nation"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:33,593","00:06:38,201",And I am certain that our country will soon be liberated,"And I am certain that our country
will soon be liberated"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:38,598","00:06:43,206",Will we really get our independence? - Who can stop us now?,"Will we really get our independence?
- Who can stop us now?"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:43,636","00:06:46,412",Look around you. The fires of the revolution are spreading,"Look around you. The fires of
the revolution are spreading"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:46,773","00:06:50,016","The Netaji's Indian National Army, and now the mutiny in the Royal Navy","The Netaji's Indian National Army,
and now the mutiny in the Royal Navy"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:50,376","00:06:54,017",Didn't you read the newspapers? The Air Force has come out in support,"Didn't you read the newspapers?
The Air Force has come out in support"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:54,647","00:06:59,187","What are you thinking? - Naren, we are truly fortunate...","What are you thinking?
- Naren, we are truly fortunate..."
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:06:59,552","00:07:02,897","To have been born in such times. Hunger, unemployment, the black market","To have been born in such times.
Hunger, unemployment, the black market"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:03,256","00:07:07,227",It is all coming to an end. The future belongs to hard work and honesty,"It is all coming to an end. The future
belongs to hard work and honesty"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:08,327","00:07:10,034",I'm moved to tears at the joy of it,I'm moved to tears at the joy of it
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:10,363","00:07:14,311",I'm going to take up education. I'll become a professor,"I'm going to take up education.
I'll become a professor"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:14,667","00:07:19,810",You fellows will pass. I'm on the endless vigil,"You fellows will pass.
I'm on the endless vigil"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:23,576","00:07:27,649","Naren, whom are you writing to? - My mother","Naren, whom are you writing to?
- My mother"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:28,648","00:07:33,028","Send her my greetings. - Sure. Yes, there's a letter for you","Send her my greetings.
- Sure. Yes, there's a letter for you"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:36,556","00:07:39,298",Grandpa? - Yes. I had written to him asking...,"Grandpa?
- Yes. I had written to him asking..."
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:39,659","00:07:43,038",What I should do after graduation. This must be his reply,"What I should do after graduation.
This must be his reply"
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:43,396","00:07:45,103",So what does he say?,So what does he say?
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:45,665","00:07:50,671","""My blessings be with you. You want to know what you should do?""","""My blessings be with you.
You want to know what you should do?"""
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:51,370","00:07:54,681","""I reply, I will tell you this canto from The Gita""","""I reply, I will tell you this canto
from The Gita"""
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:07:59,212","00:08:01,954","""Only to work, yours is the right Not the fruit""","""Only to work, yours is the right
Not the fruit"""
satyakam-en,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Satyakam_En.srt,"00:08:02,648","00:08:05,288","""Be free, stay pure, and dedicate yourself to your work""","""Be free, stay pure, and dedicate
yourself to your work"""
