film_id,decade,file_path,start,end,text_clean,text_raw
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:02:11,760","00:02:19,680","""Where the compassion tolerates iniquity.""","""Where the compassion
tolerates iniquity."""
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:02:20,040","00:02:25,680","""Where enmity tolerates the sin.""","""Where enmity tolerates the sin."""
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:02:25,880","00:02:33,880","""Where anger is suppressed.""","""Where anger is suppressed."""
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:02:34,320","00:02:40,440","""Where forgiveness resides in every eye.""","""Where forgiveness
resides in every eye."""
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:04,680","00:03:05,480",Excuse me.,Excuse me.
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:05,680","00:03:07,040",Where is the inn of Mr. Bhavaniprasad?,Where is the inn of Mr. Bhavaniprasad?
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:07,120","00:03:09,680",It is in the market. - Whom are you asking for?,"It is in the market.
- Whom are you asking for?"
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:09,920","00:03:11,680",Have you come on a journey?,Have you come on a journey?
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:11,760","00:03:13,200",Then wait in the hermitage.,Then wait in the hermitage.
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:13,280","00:03:14,160",No.,No.
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:14,320","00:03:16,320",I shall wait in the inn of that great man.,"I shall wait in the
inn of that great man."
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:16,520","00:03:18,840",You are getting involved into the wrong person.,"You are getting involved
into the wrong person."
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:18,920","00:03:22,920","To save the people from him, this hermitage has been opened.","To save the people from him,
this hermitage has been opened."
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:23,000","00:03:23,680",No.,No.
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:23,880","00:03:25,200",I won't wait anywhere else.,I won't wait anywhere else.
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:25,280","00:03:27,760",I have heard that Mr. Bhavaniprasad is like a God.,"I have heard that Mr.
Bhavaniprasad is like a God."
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:49,760","00:03:50,440",Mother.,Mother.
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:50,560","00:03:51,440",Kundan.,Kundan.
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:51,720","00:03:52,680",My boy.,My boy.
sunghursh-1968,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Sunghursh.1968.srt,"00:03:52,840","00:03:54,040",Why have you come here?,Why have you come here?
