film_id,decade,file_path,start,end,text_clean,text_raw
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:00:01,118","00:00:06,078","""It is the slogans necessary for our nation...","""It is the slogans necessary
for our nation..."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:00:06,490","00:00:09,152",that I reiterate before you.,that I reiterate before you.
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:00:09,860","00:00:12,624","I hope you will raise the slogan after me.""","I hope you will raise the
slogan after me."""
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:00:13,163","00:00:15,324",Long live the soldiers!,Long live the soldiers!
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:00:15,966","00:00:18,594",Long live the farmers!,Long live the farmers!
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:00:53,203","00:00:55,694",So sacred and pure is this land...,"So sacred and pure
is this land..."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:00:56,206","00:00:59,334",on which culture first made its mark.,"on which culture first
made its mark."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:01:00,310","00:01:04,713",And whose light spread far and wide.,"And whose light spread
far and wide."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:01:06,583","00:01:09,245",This is a story of this very land...,"This is a story
of this very land..."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:01:09,619","00:01:13,487",of this very nation ...of India.,"of this very nation
...of India."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:01:22,899","00:01:27,233",Malang uncle! Malang uncle!,"Malang uncle!
Malang uncle!"
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:01:49,493","00:01:51,552",Wake up! It's daytime already!,"Wake up! It's daytime
already!"
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:01:57,167","00:01:59,032","Another day, eh?","Another day, eh?"
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:11,248","00:02:14,240","Look at that, Bharat!","Look at that, Bharat!"
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:14,684","00:02:21,214","Dhaniram, the hypocrite, is praying to the rising Sun.","Dhaniram, the hypocrite, is
praying to the rising Sun."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:22,159","00:02:25,424",No one cares for the Sun that is setting.,"No one cares for
the Sun that is setting."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:25,729","00:02:27,754",Why not? - You'll know that...,"Why not?
- You'll know that..."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:28,031","00:02:29,692",when you grow up.,when you grow up.
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:30,067","00:02:31,193",What if I don't?,What if I don't?
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:31,568","00:02:34,901",I'll shave off my beard and call you my elder instead!,"I'll shave off my beard and
call you my elder instead!"
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:35,305","00:02:37,569",But I want you to wake me up all the time.,"But I want you to wake me up
all the time."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:37,874","00:02:40,809",What if I don't? - I'll continue sleeping.,"What if I don't?
- I'll continue sleeping."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:41,111","00:02:42,635",Should I still not awaken you?,"Should I still not
awaken you?"
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:44,247","00:02:46,238","I'll never awaken, in that case.","I'll never awaken,
in that case."
upkar,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Upkar.srt,"00:02:46,683","00:02:52,144","Take this lamp, for example. It is lit, when I light it.","Take this lamp, for example.
It is lit, when I light it."
