film_id,decade,file_path,start,end,text_clean,text_raw
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:05,944","00:03:09,289",Move aside.,Move aside.
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:09,948","00:03:10,937",Careful. Watch out.,Careful. Watch out.
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:12,917","00:03:18,867","Bravo, my child! That's it. That's it. Get down, Son.","Bravo, my child! That's it.
That's it. Get down, Son."
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:29,301","00:03:31,451","Hello. - Hello, Accountant.","Hello.
- Hello, Accountant."
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:31,569","00:03:33,799","Hurry up, we may miss the auspicious hour.","Hurry up, we may miss
the auspicious hour."
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:33,938","00:03:35,439",How come?,How come?
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:35,573","00:03:40,317",l've toiled to my bones for this. My stars won't ever let me down.,"l've toiled to my bones for this.
My stars won't ever let me down."
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:41,313","00:03:44,544","Now, even their stars have mingled with mine.","Now, even their stars
have mingled with mine."
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:44,983","00:03:49,568",All share the same date of the same month.,"All share the same
date of the same month."
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:49,721","00:03:50,710",Wonderful.,Wonderful.
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:50,855","00:03:52,243",They've proved to be very lucky for you.,"They've proved to be
very lucky for you."
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:52,390","00:03:54,255",Your business has increased by leaps and bounds.,"Your business has increased
by leaps and bounds."
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:54,392","00:03:56,974",Your business increased by four folds.,"Your business
increased by four folds."
waqt-1965,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Waqt (1965).srt,"00:03:57,329","00:04:00,913","Thus, l'm opening this new shop on their birthday.","Thus, l'm opening this
new shop on their birthday."
