film_id,decade,file_path,start,end,text_clean,text_raw
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:00:00,804","00:00:02,324",You Tube - Video Running Time 02:19:33,You Tube - Video Running Time 02:19:33
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:00:02,604","00:00:07,404",You Tube search name - Woh Kaun Thi Full Movie I Hindi Suspense Movie I Manoj Kumar Movie I Sadhana I Hindi Classic Movie,"You Tube search name - Woh Kaun Thi Full Movie I Hindi Suspense
Movie I Manoj Kumar Movie I Sadhana I Hindi Classic Movie"
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:00:58,762","00:00:59,762",Can't you hear?,Can't you hear?
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:01,769","00:01:02,895",Move out of the way.,Move out of the way.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:06,292","00:01:07,329",Who are you?,Who are you?
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:08,080","00:01:09,149",Nobody.,Nobody.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:14,080","00:01:15,149",Where do you want to go?,Where do you want to go?
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:15,789","00:01:16,989",Nowhere.,Nowhere.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:24,797","00:01:26,911",But you are alone so late in this rainy night.,"But you are alone so
late in this rainy night."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:28,131","00:01:29,513",I am not alone.,I am not alone.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:31,678","00:01:33,079",You must be going somewhere.,You must be going somewhere.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:34,211","00:01:38,233",You can't take me to where I want to go.,"You can't take me to
where I want to go."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:38,840","00:01:40,017",Is it very far?,Is it very far?
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:40,760","00:01:41,988",It is very near.,It is very near.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:42,428","00:01:43,800",No way for the car to travel?,No way for the car to travel?
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:44,451","00:01:48,229",There are many ways. But you can't go there.,"There are many ways.
But you can't go there."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:49,843","00:01:51,671","Look, I am a doctor. Don't fear me.","Look, I am a doctor. Don't fear me."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:01:52,240","00:01:54,137",I am not afraid of any human being.,I am not afraid of any human being.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:02:00,080","00:02:01,316",Then come and sit in the car.,Then come and sit in the car.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:02:01,668","00:02:03,148",I will escort you to wherever you say.,"I will escort you
to wherever you say."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:02:04,240","00:02:06,479",But you will ask me many questions.,But you will ask me many questions.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:02:10,913","00:02:12,593","If you don't want, I won't ask you.","If you don't want, I won't ask you."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:02:13,975","00:02:15,295","You won't ask anything, will you?","You won't ask anything, will you?"
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:02:16,600","00:02:18,238",No. Come.,No. Come.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:02:48,805","00:02:51,753",It's so strange. The wipers were working.,"It's so strange.
The wipers were working."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:02:52,869","00:02:55,229",It's difficult to drive. I can't see the road.,"It's difficult to drive.
I can't see the road."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:02:55,658","00:02:56,829",I can see it.,I can see it.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:02:58,904","00:03:02,072",You can? But the road is not at all visible.,"You can? But the road
is not at all visible."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:02,600","00:03:05,751",The road is clear. Drive straight.,The road is clear. Drive straight.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:14,920","00:03:17,229",There is a pit ahead. Go from the right.,"There is a pit ahead.
Go from the right."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:20,873","00:03:22,239",What happened to your finger?,What happened to your finger?
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:23,776","00:03:25,672",- Blood. - Blood?,"- Blood.
- Blood?"
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:27,903","00:03:30,230",- I got a cut from a blade. - How?,"- I got a cut from a blade.
- How?"
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:31,598","00:03:32,999",It happens quite often.,It happens quite often.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:33,587","00:03:35,478",While sharpening the pencil for the portrait.,"While sharpening the
pencil for the portrait."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:35,558","00:03:38,908",Strange! You can see the way in dark.,"Strange! You can
see the way in dark."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:38,988","00:03:40,672",But you can't see the blade in light.,"But you can't see
the blade in light."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:41,275","00:03:42,755",You should have applied some ointment.,"You should have
applied some ointment."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:43,993","00:03:45,752",I like blood.,I like blood.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:46,826","00:03:49,070",You like blood? Why?,You like blood? Why?
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:03:51,360","00:03:53,749",You only said that you won't ask any question.,"You only said that you
won't ask any question."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:04:05,819","00:04:08,434",- Stop. - Here?,"- Stop.
- Here?"
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:04:09,321","00:04:10,669",I want to get down here.,I want to get down here.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:04:10,749","00:04:12,751",In this lonely place. This is a graveyard.,"In this lonely place.
This is a graveyard."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:04:16,430","00:04:17,870",But where will you go in this place?,But where will you go in this place?
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:04:21,160","00:04:23,594",You said that you won't ask any question.,"You said that you
won't ask any question."
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:05:04,140","00:05:11,676","""Eyes are brimming with tears.""","""Eyes are brimming with tears."""
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:05:11,855","00:05:19,174","""Beloved, I am waiting for you to come.""","""Beloved, I am
waiting for you to come."""
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:05:19,254","00:05:26,710","""Eyes are brimming with tears.""","""Eyes are brimming with tears."""
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:05:26,790","00:05:33,981","""Eyes are brimming with tears.""","""Eyes are brimming with tears."""
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:07:57,422","00:07:58,589",Mother.,Mother.
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:07:59,000","00:08:00,000","Son, you have come?","Son, you have come?"
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:08:00,053","00:08:01,373",You have still not gone to sleep!,You have still not gone to sleep!
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:08:01,520","00:08:05,911",You always ask this whenever you are late. How was the feast?,"You always ask this whenever
you are late. How was the feast?"
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:08:05,991","00:08:07,149",The feast?,The feast?
woh-kaun-thi-1964,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Woh Kaun Thi - 1964.srt,"00:08:07,398","00:08:09,413","I completely forgot, mother!","I completely forgot, mother!"
