film_id,decade,file_path,start,end,text_clean,text_raw
arth-1982-2cd-dvdrip-xvid-ac3-esubs-phantom,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Arth 1982 2CD DVDRip Xvid AC3 Esubs [Phantom].srt,"00:02:38,225","00:02:42,196",At least you could have told me that you wouldn't be having dinner!,"At least you could have told me that
you wouldn't be having dinner!"
arth-1982-2cd-dvdrip-xvid-ac3-esubs-phantom,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Arth 1982 2CD DVDRip Xvid AC3 Esubs [Phantom].srt,"00:02:45,232","00:02:50,204",How can one know about meetings fixed at the last moment?,"How can one know about meetings
fixed at the last moment?"
arth-1982-2cd-dvdrip-xvid-ac3-esubs-phantom,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Arth 1982 2CD DVDRip Xvid AC3 Esubs [Phantom].srt,"00:02:51,238","00:02:53,218",What happens during these meetings and discussions?,"What happens during these
meetings and discussions?"
arth-1982-2cd-dvdrip-xvid-ac3-esubs-phantom,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Arth 1982 2CD DVDRip Xvid AC3 Esubs [Phantom].srt,"00:02:53,407","00:02:55,216","Only talks, right'?","Only talks, right'?"
arth-1982-2cd-dvdrip-xvid-ac3-esubs-phantom,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Arth 1982 2CD DVDRip Xvid AC3 Esubs [Phantom].srt,"00:02:55,409","00:03:01,223",And that too on a subject that has been discussed repeatedly!,"And that too on a subject that
has been discussed repeatedly!"
arth-1982-2cd-dvdrip-xvid-ac3-esubs-phantom,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Arth 1982 2CD DVDRip Xvid AC3 Esubs [Phantom].srt,"00:03:04,251","00:03:05,229",Slowly!,Slowly!
arth-1982-2cd-dvdrip-xvid-ac3-esubs-phantom,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Arth 1982 2CD DVDRip Xvid AC3 Esubs [Phantom].srt,"00:03:13,260","00:03:15,240","If you aren't very tired""","If you aren't very tired"""
arth-1982-2cd-dvdrip-xvid-ac3-esubs-phantom,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Arth 1982 2CD DVDRip Xvid AC3 Esubs [Phantom].srt,"00:03:16,263","00:03:18,243","""read this letter!","""read this letter!"
arth-1982-2cd-dvdrip-xvid-ac3-esubs-phantom,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Arth 1982 2CD DVDRip Xvid AC3 Esubs [Phantom].srt,"00:03:22,269","00:03:27,241","So that explains it! - It's a very important letter, lnder!","So that explains it! - It's a
very important letter, lnder!"
arth-1982-2cd-dvdrip-xvid-ac3-esubs-phantom,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Arth 1982 2CD DVDRip Xvid AC3 Esubs [Phantom].srt,"00:03:27,441","00:03:29,250","Read it, please!","Read it, please!"
