film_id,decade,file_path,start,end,text_clean,text_raw
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:00:50,756","00:00:56,888",Return this and my love to him.,Return this and my love to him.
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:01:01,300","00:01:04,292",Here is your ring! This is what you wanted. Take it!,"Here is your ring! This is
what you wanted. Take it!"
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:01:06,138","00:01:10,734",Now you must be feeling great! Shame on you!,"Now you must be feeling great!
Shame on you!"
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:01:11,410","00:01:14,379","The girl who was your life, your love...","The girl who was your life,
your love..."
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:01:14,713","00:01:17,443",The one you were living for... You broke off with her!,"The one you were living for...
You broke off with her!"
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:01:17,950","00:01:19,542",May l know the reason?,May l know the reason?
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:01:20,285","00:01:21,980",Why dig up the past?,Why dig up the past?
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:01:22,421","00:01:27,017",l know you loved her a lot.,l know you loved her a lot.
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:01:27,459","00:01:31,828",Shall l tell you something? She'll always remember the pain you gave her.,"Shall l tell you something? She'll
always remember the pain you gave her."
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:01:32,297","00:01:36,199",So l've kept both the rules of love.,So l've kept both the rules of love.
chandni-cd2,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Chandni CD2.srt,"00:01:37,603","00:01:40,629",You were ready to fight the world and die for her!,"You were ready to fight
the world and die for her!"
