film_id,decade,file_path,start,end,text_clean,text_raw
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:09,463","00:01:11,328","Hey,even I'm coming...","Hey,even I'm coming..."
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:19,807","00:01:20,774",How far...?,How far...?
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:21,308","00:01:24,106","Yes,the path of love is always like this","Yes,the path of love is
always like this"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:24,978","00:01:28,937",The more longer the way is the more closer the traveler's come,"The more longer the way is the
more closer the traveler's come"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:39,493","00:01:40,118",And what's this-,And what's this-
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:41,061","00:01:45,293",Why do we always keep roaming in the deserted ruins and broken building,"Why do we always keep roaming in the
deserted ruins and broken building"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:45,666","00:01:46,132",Do you know,Do you know
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:47,167","00:01:51,126","Every pillar,each and every stone of this place","Every pillar,each and every
stone of this place"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:51,839","00:01:54,137",It's like... it's like revealing a story,"It's like... it's like revealing
a story"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:55,843","00:01:56,309",What happened?,What happened?
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:57,845","00:01:58,311",A thorn...,A thorn...
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:01:59,413","00:02:00,971",One minute... one minute...,One minute... one minute...
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:02:06,186","00:02:07,312","Sapna,we'll not marry","Sapna,we'll not marry"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:02:07,521","00:02:10,490","Hey,but why,Is all your love over?","Hey,but why,Is all your
love over?"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:02:11,792","00:02:14,158","It's not like that,if we get married","It's not like that,if
we get married"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:02:14,862","00:02:17,490",Even we'll be left with no identity of our own like other people,"Even we'll be left with no identity
of our own like other people"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:02:18,198","00:02:20,325",Who don't have any relation among themselves,"Who don't have any relation
among themselves"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:02:20,868","00:02:22,597",Who don't have any turn in their lives,"Who don't have any turn
in their lives"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:02:23,537","00:02:25,232","And,if we don't marry,then?","And,if we don't marry,then?"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:02:26,240","00:02:29,732","The love was left incomplete,only then our story will be built","The love was left incomplete,only
then our story will be built"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:02:30,177","00:02:34,910","Hey what,should our story only be built,why not our history?","Hey what,should our story only be
built,why not our history?"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:02:35,149","00:02:39,643",Wow!whose Hero will be me and whose Heroine will be you,"Wow!whose Hero will be me and
whose Heroine will be you"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:30,691","00:05:34,627","Hey madam,don't you have eyes Is there no humanity in you?","Hey madam,don't you have eyes
Is there no humanity in you?"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:34,828","00:05:36,955","Don't you see,I'm chanting hymns over here","Don't you see,I'm chanting
hymns over here"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:37,331","00:05:38,889",And you're throwing the peels of egg,"And you're throwing the
peels of egg"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:39,232","00:05:40,563",Sinner... Sinner... a great sinner...,"Sinner... Sinner...
a great sinner..."
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:40,767","00:05:41,062",What...?,What...?
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:41,735","00:05:43,168",What...? your head...,What...? your head...
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:43,370","00:05:46,771","What... what's it,whom are you threatening?","What... what's it,whom
are you threatening?"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:47,107","00:05:50,508","This is the same Maxim,you were chanting hymns by closing your eyes","This is the same Maxim,you were
chanting hymns by closing your eyes"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:50,711","00:05:52,269",They came flying through the air what can I do in that?,"They came flying through the air
what can I do in that?"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:52,612","00:05:54,204","For your sake,should we stop having eggs?","For your sake,should we stop
having eggs?"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:54,414","00:05:56,041",And start having grass like you?,"And start having grass
like you?"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:56,249","00:05:59,309","Even we don't have grass,only your wisdom has it","Even we don't have grass,only
your wisdom has it"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:05:59,486","00:05:59,884",What...?,What...?
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:00,520","00:06:02,784","Oh God,if she's shouting like that","Oh God,if she's shouting
like that"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:02,989","00:06:04,820","Why are you also shouting like this,you come in","Why are you also shouting
like this,you come in"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:05,092","00:06:07,583","Am I shouting,she's only shouting after throwing the peels of the eggs","Am I shouting,she's only shouting
after throwing the peels of the eggs"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:08,328","00:06:10,159",Hey Mr. what do you think?,Hey Mr. what do you think?
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:10,364","00:06:12,628",Will I not understand anything if you abuse me in Tamil?,"Will I not understand anything
if you abuse me in Tamil?"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:12,833","00:06:14,528",I'm not going to lose to you,"I'm not going to lose
to you"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:14,735","00:06:17,067","Even,I'll abuse you one after the other from the Terrace","Even,I'll abuse you one after the
other from the Terrace"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:17,270","00:06:17,736",What do you think?,What do you think?
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:20,574","00:06:21,438",Did you see...?,Did you see...?
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:22,442","00:06:25,036","Oh madam,we're not abusing you","Oh madam,we're not
abusing you"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:25,245","00:06:28,840","I was just telling,why is this fight required,you come in...","I was just telling,why is this
fight required,you come in..."
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:29,049","00:06:32,348",Yes... oh God! this is the same Maxim,"Yes... oh God! this is the
same Maxim"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:32,552","00:06:34,281",If they don't want to be our neighbours,"If they don't want to be
our neighbours"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:34,521","00:06:35,783",Let them go and settle down in a forest,"Let them go and settle down
in a forest"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:36,022","00:06:38,047",Again the same blabberings the same old non-sense,"Again the same blabberings
the same old non-sense"
ek-duuje-ke-liye-by-sunil,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Ek Duuje Ke Liye_By_Sunil.srt,"00:06:39,559","00:06:41,618",You keep sticking your butt on the chair like a pumpkin,"You keep sticking your butt on
the chair like a pumpkin"
