film_id,decade,file_path,start,end,text_clean,text_raw
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:01:49,166","00:01:53,166",Sister Is The Place God Would Wake Me Now,Sister Is The Place God Would Wake Me Now
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:01:53,666","00:01:54,333",God,God
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:01:54,833","00:01:57,291",Is My Sister Studies Last Year,Is My Sister Studies Last Year
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:01:57,791","00:01:59,000",Let Him Pass.,Let Him Pass.
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:01:59,500","00:02:02,208",I Have No One In This World Except My Sister,I Have No One In This World Except My Sister
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:02:02,708","00:02:04,375",I Do Not Care About Me,I Do Not Care About Me
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:02:04,875","00:02:06,791",Day And Night Living In The Same Thing,Day And Night Living In The Same Thing
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:02:07,291","00:02:11,125",I'll Do My Sister Read A Lot Of Progress,I'll Do My Sister Read A Lot Of Progress
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:02:11,625","00:02:15,416",Is Just A Prayer.,Is Just A Prayer.
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:02:15,916","00:02:17,750",Lalita,Lalita
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:02:18,250","00:02:19,083",Moving On,Moving On
english-tohfa-tohfa-downsub-com,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/[English] Tohfa Tohfa [DownSub.com].srt,"00:02:19,583","00:02:20,125",Up In The Morning,Up In The Morning
