film_id,decade,file_path,start,end,text_clean,text_raw
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:00:01,000","00:00:04,000",Downloaded From www.AllSubs.org,Downloaded From www.AllSubs.org
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:08,287","00:02:10,278","Janardhan -Yes, madam","Janardhan -Yes, madam"
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:10,767","00:02:12,837",Why is this vase empty? - I am just putting them in.,"Why is this vase empty?
- I am just putting them in."
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:13,407","00:02:17,036",Decorate aII the fIower vases with fIowers FIowers shouId be seen everywhere.,"Decorate aII the fIower vases with fIowers
FIowers shouId be seen everywhere."
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:17,367","00:02:19,403",Don't worry. I wiII put them right now,Don't worry. I wiII put them right now
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:21,087","00:02:23,647",Hey Chanda! -Yes? My son is coming back from abroad.,"Hey Chanda! -Yes?
My son is coming back from abroad."
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:24,047","00:02:26,487",He won't Iike aII these. Keep these inside.,He won't Iike aII these. Keep these inside.
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:26,487","00:02:29,126",And take out the bone china dinner-set from inside..,And take out the bone china dinner-set from inside..
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:35,927","00:02:41,240",I just rememberthis smaII chiId. 15 years have passed.,I just rememberthis smaII chiId. 15 years have passed.
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:42,487","00:02:45,047",And each year passed as if 15 ages have passed.,And each year passed as if 15 ages have passed.
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:45,647","00:02:49,196",Sister-in-Iaw! What is this? You have tears in your eyes!,Sister-in-Iaw! What is this? You have tears in your eyes!
nagina-1986,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Nagina 1986.srt,"00:02:50,007","00:02:53,443",Today you shouId be happy. After 15 years your son..,Today you shouId be happy. After 15 years your son..
