film_id,decade,file_path,start,end,text_clean,text_raw
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:02:43,830","00:02:46,128","Wake up, dear. It's morning already.","Wake up, dear.
It's morning already."
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:02:55,508","00:03:02,607","Look, how high the sun is. And your friend Radha's here too.","Look, how high the sun is.
And your friend Radha's here too."
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:03:10,323","00:03:12,621",Why did you lie to me? Where's Radha?,"Why did you lie to me?
Where's Radha?"
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:03:13,126","00:03:16,823",Downstairs. Your Aunt just stopped her for the prayers.,"Downstairs. Your Aunt just stopped
her for the prayers."
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:03:18,398","00:03:21,367",Here you are. I moved them when I swept the room.,"Here you are. I moved them
when I swept the room."
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:03:21,868","00:03:27,170",I don't like it! Keep my slippers in their place!,"I don't like it!
Keep my slippers in their place!"
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:03:33,346","00:03:39,182","""You're the Ocean of mercy, and You keep us, O Lord.""","""You're the Ocean of mercy,
and You keep us, O Lord."""
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:03:44,224","00:03:48,456","- ""I'm stupid and a lowly being."" - Hope you've counted them.","- ""I'm stupid and a lowly being.""
- Hope you've counted them."
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:03:48,895","00:03:52,854","You're always short by one or two. ""Praise to you, O Lord.""","You're always short by one or two.
""Praise to you, O Lord."""
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:03:53,233","00:03:57,192","Well, well! Listen to her. Haven't you had this Puja before?","Well, well! Listen to her.
Haven't you had this Puja before?"
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:03:58,571","00:04:00,869",Am I bringing these earthen things for the first time for you?,"Am I bringing these earthen things
for the first time for you?"
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:04:01,507","00:04:04,738","Count them. And if these are less, then chide me all you want.","Count them. And if these are less,
then chide me all you want."
prem-rog-1982,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Prem Rog (1982).srt,"00:04:04,911","00:04:09,871",Quiet! You always chatter during my prayers! Keep them inside.,"Quiet! You always chatter during
my prayers! Keep them inside."
