film_id,decade,file_path,start,end,text_clean,text_raw
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:00:31,500","00:00:34,736","Accountant, look, daddy's plane! Daddy has arrived!","Accountant, look, daddy's
plane! Daddy has arrived!"
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:00:34,899","00:00:36,034",Daddy has arrived!,Daddy has arrived!
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:00:50,500","00:00:51,567","Come, Mr. Richard.","Come, Mr. Richard."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:00:53,833","00:00:54,900","Hello, daddy.","Hello, daddy."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:00:54,966","00:00:57,902","Hello, Vicky.. Mr. Saxena.. make them sit in the car. - Please come.","Hello, Vicky.. Mr. Saxena.. make
them sit in the car. - Please come."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:00:58,100","00:01:00,869","l suppose everything is fine? - Yes, everything is fine.","l suppose everything is fine?
- Yes, everything is fine."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:01,066","00:01:04,469","But l want to speak to you, about Vicky.","But l want to speak
to you, about Vicky."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:04,633","00:01:09,537",Speak to me tomorrow. l am taking Mr. Richard to the new steel plant.,"Speak to me tomorrow. l am taking
Mr. Richard to the new steel plant."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:21,166","00:01:24,435",Did you see? Daddy didn't show any affection towards me today too!,"Did you see? Daddy didn't show
any affection towards me today too!"
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:25,433","00:01:29,503","Dear, your daddy is too engrossed in his work.","Dear, your daddy is too
engrossed in his work."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:31,866","00:01:34,435",But l am here to be affectionate towards you. Come on..,"But l am here to be
affectionate towards you. Come on.."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:34,866","00:01:38,135",What is this l hear? Vicky has started drinking liquor?,"What is this l hear? Vicky
has started drinking liquor?"
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:38,666","00:01:41,568",l had given him in your custody. And you made him a drunkard?,"l had given him in your custody.
And you made him a drunkard?"
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:41,633","00:01:46,637",You are responsible for it. - l am responsible? What nonsense!,"You are responsible for it.
- l am responsible? What nonsense!"
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:46,900","00:01:50,837","Yes, Mr. Rai sir. You are the one who has made him an alcoholic.","Yes, Mr. Rai sir. You are the
one who has made him an alcoholic."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:52,000","00:01:54,535",You were so busy amassing wealth.,You were so busy amassing wealth.
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:54,700","00:01:57,869",And the poor little Vicky was thirsting for your love.,"And the poor little Vicky
was thirsting for your love."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:01:58,033","00:02:02,370",You didn't even have time to meet your dying wife.,"You didn't even have time
to meet your dying wife."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:02:02,833","00:02:04,701",l still remember the night..,l still remember the night..
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:02:05,366","00:02:07,401",..when you were sending doctors one after another.,"..when you were sending
doctors one after another."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:02:07,500","00:02:14,506",Please ask the doctor to go out for a few minutes.,"Please ask the doctor to
go out for a few minutes."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:02:15,800","00:02:17,401","Please go outside, doctor.","Please go outside, doctor."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:02:21,033","00:02:23,802",l am on the verge of dying.,l am on the verge of dying.
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:02:26,099","00:02:29,536",l am handing over my Vicky in your care.,"l am handing over my
Vicky in your care."
sharaabi-1984-hindi-dvdrip-xvid-smeet,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Sharaabi (1984)Hindi-DVDRip-XviD ~ Smeet.srt,"00:02:31,866","00:02:35,502",Please bring him up like a mother would.,"Please bring him up
like a mother would."
