film_id,decade,file_path,start,end,text_clean,text_raw
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:00:01,000","00:00:04,000",Downloaded From www.AllSubs.org,Downloaded From www.AllSubs.org
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:01:25,298","00:01:28,290",Like you need to breathe...,Like you need to breathe...
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:01:29,803","00:01:35,799",like you need to breathe to live...,like you need to breathe to live...
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:01:36,643","00:01:42,809","""you need a beloved to love""","""you need a beloved
to love"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:01:50,557","00:01:56,553","""Like you need a drink to lose your senses...""","""Like you need a drink
to lose your senses..."""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:01:57,330","00:02:03,269","""you need a beloved to love""","""you need a beloved
to love"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:02:06,606","00:02:12,772","""You just need a beloved to fall in love with""","""You just need a beloved
to fall in love with"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:02:40,307","00:02:44,300","""Time holds the destiny of every human being""","""Time holds the destiny
of every human being"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:02:49,483","00:02:53,544","""Time holds the destiny of every human being""","""Time holds the destiny
of every human being"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:02:53,820","00:02:57,813","""The mirror speaks lies... the pictures are true""","""The mirror speaks lies...
the pictures are true"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:02:59,326","00:03:03,092","""Where there is pain, there's music""","""Where there is pain,
there's music"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:03:03,763","00:03:07,756","""Where there is love, there is a mate""","""Where there is love,
there is a mate"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:03:08,768","00:03:11,259","""No one knows, but...""","""No one knows, but..."""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:03:12,105","00:03:14,767",this is the way to life,this is the way to life
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:03:17,777","00:03:20,769",Like you need a tune...,Like you need a tune...
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:03:21,781","00:03:28,118","""like you need a tune in music...""","""like you need a tune
in music..."""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:03:28,788","00:03:34,784","""you need to have a beloved to love""","""you need to have a beloved
to love"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:03:38,131","00:03:44,127","""All you need is a beloved you can love""","""All you need is a beloved
you can love"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:03:53,813","00:03:56,304","""Ladies and gentlemen, Mr and Mrs Pestonji...""","""Ladies and gentlemen,
Mr and Mrs Pestonji..."""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:03:56,550","00:04:00,748",celebrate their 25th wedding anniversary in our midst today,"celebrate their 25th wedding
anniversary in our midst today"
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:04:01,087","00:04:03,078",Let's give them a big hand!,Let's give them a big hand!
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:04:25,345","00:04:29,509","""The goal has been accomplished, yet there is a distance""","""The goal has been accomplished,
yet there is a distance"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:04:34,521","00:04:38,787","""The goal has been accomplished, yet there is a distance""","""The goal has been accomplished,
yet there is a distance"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:04:39,125","00:04:43,289","""Without a companion, life is incomplete""","""Without a companion,
life is incomplete"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:04:44,731","00:04:48,292","""Somewhere, I will find my niche""","""Somewhere, I will find my niche"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:04:48,802","00:04:52,795","""How will I spend this journey in loneliness?""","""How will I spend this journey
in loneliness?"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:04:53,807","00:04:56,537",The eyes that share my dream...,The eyes that share my dream...
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:04:57,310","00:04:59,801",are the eyes I'm looking for,are the eyes I'm looking for
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:05:03,083","00:05:05,745",Like you need the Moon...,Like you need the Moon...
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:05:07,087","00:05:13,253","""Like you need the Moon for moonlight...""","""Like you need the Moon
for moonlight..."""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:05:14,260","00:05:20,256","""you need a beloved to fall in love with""","""you need a beloved
to fall in love with"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:05:23,503","00:05:26,495",Like you need to breathe...,Like you need to breathe...
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:05:27,774","00:05:33,770","""to live, you need a beloved to love""","""to live, you need a beloved
to love"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:05:34,514","00:05:40,783","""to live, you need a beloved to love""","""to live, you need a beloved
to love"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:05:43,790","00:05:46,281",To love...,To love...
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:05:47,794","00:05:50,285",to fall in love,to fall in love
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:05:52,298","00:05:54,789",to fall in love,to fall in love
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:05:56,736","00:05:59,136",to fall in love,to fall in love
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:08,081","00:06:09,742",Stop here,Stop here
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:11,484","00:06:13,748",Must leave now. It's very late.,Must leave now. It's very late.
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:14,254","00:06:16,245",Wait a moment. Let light a cigarette.,"Wait a moment.
Let light a cigarette."
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:16,756","00:06:18,246",Where's the match?,Where's the match?
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:20,093","00:06:23,494",Hey Master... give me a match,"Hey Master...
give me a match"
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:28,268","00:06:30,259",Spoilt rich brat!,Spoilt rich brat!
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:31,104","00:06:34,505",Carry a blade if you want a shave!,Carry a blade if you want a shave!
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:35,108","00:06:37,099","""You drive an expensive bike, but you won't carry a match!""","""You drive an expensive bike,
but you won't carry a match!"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:37,277","00:06:39,268",Light it up.,Light it up.
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:39,779","00:06:43,271","""I had a dream last night, Master.""","""I had a dream last night, Master."""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:44,117","00:06:47,280","""A morning-dream, you know. They often come true.""","""A morning-dream, you know.
They often come true."""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:47,520","00:06:49,112",What did you dream? - I dreamt...,"What did you dream?
- I dreamt..."
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:49,289","00:06:54,283",of a huge air-conditioned tailoring shop. I was amazed.,"of a huge air-conditioned
tailoring shop. I was amazed."
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:54,627","00:06:56,618",I asked people whose it was.,I asked people whose it was.
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:06:57,530","00:07:01,466",Know what they said? It's Master's!,"Know what they said?
It's Master's!"
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:07:02,068","00:07:07,062","""And bang next to that, I dreamt of a posh bungalow""","""And bang next to that,
I dreamt of a posh bungalow"""
aashiqui-dvdrip,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Aashiqui (DVDRip).srt,"00:07:07,173","00:07:10,472",I was even more amazed and I asked... whose is this?,"I was even more amazed and I asked...
whose is this?"
