film_id,decade,file_path,start,end,text_clean,text_raw
akele-hum-akele-tum-1995-dvdrip-x264-aac-esubs-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Akele.Hum.Akele.Tum.(1995).DVDRiP.x264.AAC.Esubs.DDR.srt,"00:01:22,348","00:01:23,370",Subtitles synced by DISTEL.,Subtitles synced by DISTEL.
akele-hum-akele-tum-1995-dvdrip-x264-aac-esubs-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Akele.Hum.Akele.Tum.(1995).DVDRiP.x264.AAC.Esubs.DDR.srt,"00:01:23,375","00:01:27,428",Missings parts and songs synced and translated by Bluerain_20.,"Missings parts and songs synced
and translated by Bluerain_20."
akele-hum-akele-tum-1995-dvdrip-x264-aac-esubs-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Akele.Hum.Akele.Tum.(1995).DVDRiP.x264.AAC.Esubs.DDR.srt,"00:02:21,072","00:02:22,471",Oh no!,Oh no!
akele-hum-akele-tum-1995-dvdrip-x264-aac-esubs-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Akele.Hum.Akele.Tum.(1995).DVDRiP.x264.AAC.Esubs.DDR.srt,"00:02:22,740","00:02:24,435",You're out of tune. Completely out of tune.,"You're out of tune.
Completely out of tune."
akele-hum-akele-tum-1995-dvdrip-x264-aac-esubs-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Akele.Hum.Akele.Tum.(1995).DVDRiP.x264.AAC.Esubs.DDR.srt,"00:02:24,842","00:02:28,437","- What's up, Maestro? - A lifeless voice can't sing in tune.","- What's up, Maestro? - A lifeless
voice can't sing in tune."
akele-hum-akele-tum-1995-dvdrip-x264-aac-esubs-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Akele.Hum.Akele.Tum.(1995).DVDRiP.x264.AAC.Esubs.DDR.srt,"00:02:28,846","00:02:30,814",Sounds like she has a sore throat.,Sounds like she has a sore throat.
akele-hum-akele-tum-1995-dvdrip-x264-aac-esubs-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Akele.Hum.Akele.Tum.(1995).DVDRiP.x264.AAC.Esubs.DDR.srt,"00:02:31,582","00:02:35,279","- What's wrong, Kiran? - She needn't say. I know it all.","- What's wrong, Kiran?
- She needn't say. I know it all."
akele-hum-akele-tum-1995-dvdrip-x264-aac-esubs-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Akele.Hum.Akele.Tum.(1995).DVDRiP.x264.AAC.Esubs.DDR.srt,"00:02:36,087","00:02:38,817",All these girls do nowadays is to roam till late...,"All these girls do nowadays
is to roam till late..."
akele-hum-akele-tum-1995-dvdrip-x264-aac-esubs-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Akele.Hum.Akele.Tum.(1995).DVDRiP.x264.AAC.Esubs.DDR.srt,"00:02:39,023","00:02:41,118",... at nights with friends. She has shouted her voice hoarse.,"... at nights with friends.
She has shouted her voice hoarse."
akele-hum-akele-tum-1995-dvdrip-x264-aac-esubs-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Akele.Hum.Akele.Tum.(1995).DVDRiP.x264.AAC.Esubs.DDR.srt,"00:02:41,158","00:02:44,059",And they'll eat whatever they like. ls that a sign of love for music?,"And they'll eat whatever they like.
ls that a sign of love for music?"
