film_id,decade,file_path,start,end,text_clean,text_raw
andaz-apna-apna,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Andaz Apna Apna.srt,"00:02:36,416","00:02:41,709",Excuse me! Can I help you?,Excuse me! Can I help you?
andaz-apna-apna,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Andaz Apna Apna.srt,"00:02:50,375","00:02:54,083",Goodness! It's Juhi Chawla!,"Goodness!
It's Juhi Chawla!"
andaz-apna-apna,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Andaz Apna Apna.srt,"00:02:54,084","00:02:57,958",I've to attend a shoot and my car's broken down.,"I've to attend a shoot and
my car's broken down."
andaz-apna-apna,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Andaz Apna Apna.srt,"00:02:58,416","00:03:01,875",Can you give me a lift?,Can you give me a lift?
andaz-apna-apna,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Andaz Apna Apna.srt,"00:03:02,292","00:03:06,750",I?! Why not? Please come!,"I?!
Why not? Please come!"
andaz-apna-apna,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Andaz Apna Apna.srt,"00:03:09,125","00:03:12,667",I'm very fortunate to have found you.,I'm very fortunate to have found you.
andaz-apna-apna,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Andaz Apna Apna.srt,"00:03:13,500","00:03:16,249",I'll never forget this favor of yours for the rest of my life.,"I'll never forget this favor of
yours for the rest of my life."
andaz-apna-apna,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Andaz Apna Apna.srt,"00:03:16,250","00:03:19,415",No favor at all! This is only my duty.,"No favor at all!
This is only my duty."
andaz-apna-apna,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Andaz Apna Apna.srt,"00:03:19,416","00:03:23,416",They don't 'make' them like you anymore.,"They don't 'make' them
like you anymore."
andaz-apna-apna,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Andaz Apna Apna.srt,"00:03:28,125","00:03:33,875",Madam's arrived! Hurry up!,"Madam's arrived!
Hurry up!"
