film_id,decade,file_path,start,end,text_clean,text_raw
baazigar-hindi-movies-full-movie-shahrukh-khan-movies-kajol-shilpa-shett-high,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Baazigar - Hindi Movies Full Movie _ Shahrukh Khan Movies _ Kajol _ Shilpa Shett_HIGH.srt,"00:00:50,984","00:00:56,479",Courier,Courier
baazigar-hindi-movies-full-movie-shahrukh-khan-movies-kajol-shilpa-shett-high,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Baazigar - Hindi Movies Full Movie _ Shahrukh Khan Movies _ Kajol _ Shilpa Shett_HIGH.srt,"00:00:57,324","00:01:02,193",Cuddapah - Andhra.,Cuddapah - Andhra.
baazigar-hindi-movies-full-movie-shahrukh-khan-movies-kajol-shilpa-shett-high,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Baazigar - Hindi Movies Full Movie _ Shahrukh Khan Movies _ Kajol _ Shilpa Shett_HIGH.srt,"00:02:00,320","00:02:01,252",Escape.,Escape.
baazigar-hindi-movies-full-movie-shahrukh-khan-movies-kajol-shilpa-shett-high,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Baazigar - Hindi Movies Full Movie _ Shahrukh Khan Movies _ Kajol _ Shilpa Shett_HIGH.srt,"00:02:05,425","00:02:06,483",No...,No...
baazigar-hindi-movies-full-movie-shahrukh-khan-movies-kajol-shilpa-shett-high,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Baazigar - Hindi Movies Full Movie _ Shahrukh Khan Movies _ Kajol _ Shilpa Shett_HIGH.srt,"00:02:40,494","00:02:41,586",They tried to escape.,They tried to escape.
baazigar-hindi-movies-full-movie-shahrukh-khan-movies-kajol-shilpa-shett-high,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Baazigar - Hindi Movies Full Movie _ Shahrukh Khan Movies _ Kajol _ Shilpa Shett_HIGH.srt,"00:02:41,995","00:02:44,088","Singamuthu, you are an elder.","Singamuthu, you are an elder."
baazigar-hindi-movies-full-movie-shahrukh-khan-movies-kajol-shilpa-shett-high,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Baazigar - Hindi Movies Full Movie _ Shahrukh Khan Movies _ Kajol _ Shilpa Shett_HIGH.srt,"00:02:44,364","00:02:45,388",Don't you have any concious.,Don't you have any concious.
baazigar-hindi-movies-full-movie-shahrukh-khan-movies-kajol-shilpa-shett-high,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Baazigar - Hindi Movies Full Movie _ Shahrukh Khan Movies _ Kajol _ Shilpa Shett_HIGH.srt,"00:02:45,999","00:02:47,227",Look at their state.,Look at their state.
baazigar-hindi-movies-full-movie-shahrukh-khan-movies-kajol-shilpa-shett-high,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Baazigar - Hindi Movies Full Movie _ Shahrukh Khan Movies _ Kajol _ Shilpa Shett_HIGH.srt,"00:02:47,401","00:02:51,064",This place is surrounded by a 2 km. electric fence.,"This place is surrounded
by a 2 km. electric fence."
baazigar-hindi-movies-full-movie-shahrukh-khan-movies-kajol-shilpa-shett-high,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Baazigar - Hindi Movies Full Movie _ Shahrukh Khan Movies _ Kajol _ Shilpa Shett_HIGH.srt,"00:02:51,505","00:02:53,166",My boys with guns.,My boys with guns.
