film_id,decade,file_path,start,end,text_clean,text_raw
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:10,851","00:01:15,601","Students, I had told you to write four lines on your mother.","Students, I had told you to
write four lines on your mother."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:15,835","00:01:18,595","- Have you all written it? - Yes, teacher.","- Have you all written it?
- Yes, teacher."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:18,636","00:01:19,577",Very good.,Very good.
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:23,175","00:01:25,851",Raju... Did you write it?,Raju... Did you write it?
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:27,005","00:01:29,927","I'm asking you, did you write it? Come here.","I'm asking you, did you write it?
Come here."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:35,420","00:01:38,268",You've not written anything.,You've not written anything.
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:38,445","00:01:40,531",Do you sleep in the classroom?,Do you sleep in the classroom?
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:40,714","00:01:42,219",Answer me?,Answer me?
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:43,845","00:01:47,085",You won't speak like this. This stick will make you speak up.,"You won't speak like this.
This stick will make you speak up."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:47,195","00:01:48,357",Show me your hand.,Show me your hand.
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:48,382","00:01:51,782",Tell me. Tell me.,Tell me. Tell me.
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:52,774","00:01:56,179",Tell me. Tell me.,Tell me. Tell me.
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:56,522","00:01:58,252","Teacher, don't beat him.","Teacher, don't beat him."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:01:58,308","00:02:01,412",How can he write about his mother? He has no mother.,"How can he write about his mother?
He has no mother."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:07,403","00:04:09,043",- Hello. - Call from Delhi.,"- Hello.
- Call from Delhi."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:09,313","00:04:12,268","Call from Delhi. Hang on. Sir, your call from Delhi.","Call from Delhi. Hang on.
Sir, your call from Delhi."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:12,804","00:04:13,833",- Hello. - Prem.,"- Hello.
- Prem."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:13,913","00:04:14,889","Yes, Prem here.","Yes, Prem here."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:14,930","00:04:16,372",- Shrivastav here. - Who? Shrivastav?,"- Shrivastav here.
- Who? Shrivastav?"
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:16,435","00:04:18,041","- Uncle Ramu. - Yes, dear?","- Uncle Ramu.
- Yes, dear?"
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:18,361","00:04:21,401",- Who is father talking to? - To someone in Delhi.,"- Who is father talking to?
- To someone in Delhi."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:21,450","00:04:23,367",Delhi? Delhi is so far away.,Delhi? Delhi is so far away.
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:23,433","00:04:25,589","Forget Delhi, these days.","Forget Delhi, these days."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:25,630","00:04:28,128",You can even talk to somebody in the sky.,You can even talk to somebody in the sky.
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:28,169","00:04:29,891",- Even above the clouds? - Yes.,"- Even above the clouds?
- Yes."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:31,547","00:04:33,377",Don't worry. Your work will be done.,Don't worry. Your work will be done.
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:04:35,137","00:04:37,684","Come on, Raju. Freshen up. We'll have our meals.","Come on, Raju. Freshen up.
We'll have our meals."
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:05:00,292","00:05:01,972",Hello. Telephone exchange.,Hello. Telephone exchange.
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:05:02,052","00:05:05,090",- I want God's number. - What? What number?,"- I want God's number.
- What? What number?"
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:05:05,253","00:05:08,373",God's number. I want to talk to my mother.,God's number. I want to talk to my mother.
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:05:08,505","00:05:10,261",Is your mother with God?,Is your mother with God?
beta-1992-hindi-web-dl-1080p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Beta (1992) Hindi.WEB.DL.1080p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:05:10,388","00:05:13,908",Yes. She died when I was born.,Yes. She died when I was born.
