film_id,decade,file_path,start,end,text_clean,text_raw
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:09,801","00:00:12,429",Why did you run for the mail?,Why did you run for the mail?
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:13,805","00:00:15,739",Who's going to write to you anyway?,Who's going to write to you anyway?
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:16,608","00:00:20,510",Didn't you say you have no one in the world?,"Didn't you say you have
no one in the world?"
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:21,880","00:00:26,146",You're an idiot! These guys are my family!,"You're an idiot!
These guys are my family!"
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:26,551","00:00:28,951",- You're right. - We share the bonds of love.,"- You're right.
- We share the bonds of love."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:29,287","00:00:30,379",That you certainly do.,That you certainly do.
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:31,623","00:00:33,955",When these guys receive their letters...,"When these guys receive
their letters..."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:34,259","00:00:37,251","...some of them have tears in their eyes, and yet others laugh.","...some of them have tears in
their eyes, and yet others laugh."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:37,996","00:00:40,487","l laugh and cry with them, too.","l laugh and cry with them, too."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:46,404","00:00:50,864","This is funny! ''Everything else is okay'', she says.","This is funny! ''Everything
else is okay'', she says."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:51,176","00:00:53,644",What are you laughing for? ls it a letter from your wife?,"What are you laughing for? ls it
a letter from your wife?"
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:54,212","00:00:56,703","Yes, it is. Let me read it out to you.","Yes, it is.
Let me read it out to you."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:57,115","00:00:58,810","lt doesn't have all the details, does it?","lt doesn't have all
the details, does it?"
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:00:59,117","00:01:01,745",Oh come on! Not with me here on the borders!,"Oh come on! Not with me
here on the borders!"
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:02,087","00:01:05,181",She says our uncle in Karnal is dead... but everything is okay.,"She says our uncle in Karnal is
dead... but everything is okay."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:05,857","00:01:09,953",The cow had a calf which died; but everything else is okay.,"The cow had a calf which died;
but everything else is okay."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:10,495","00:01:14,454",lt's four days since Munni has been running a fever.,"lt's four days since Munni has
been running a fever."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:14,766","00:01:17,030",My son has fallen and broken his arm; but everything else is all right!,"My son has fallen and broken his arm;
but everything else is all right!"
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:18,203","00:01:19,966",My son is now 4 years old.,My son is now 4 years old.
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:21,907","00:01:23,272",D'you know what toy he has asked me to fetch?,"D'you know what toy he
has asked me to fetch?"
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:23,909","00:01:28,437",He has asked me to bring an enemy-tank when l go home...,"He has asked me to bring an
enemy-tank when l go home..."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:28,847","00:01:30,781",...so we can both play together.,...so we can both play together.
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:33,518","00:01:35,850",What does your son write? His handwriting seems to be good.,"What does your son write?
His handwriting seems to be good."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:36,254","00:01:37,653","He writes good things, too.","He writes good things, too."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:38,023","00:01:42,653",He writes that the people across the border are just like us.,"He writes that the people across
the border are just like us."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:43,461","00:01:47,056",They dress like us and speak a language similar to ours.,"They dress like us and speak
a language similar to ours."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:48,266","00:01:52,100","lf all this is true, why then do they fight with us, he asks?","lf all this is true, why then
do they fight with us, he asks?"
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:53,572","00:01:56,598","Return home at the earliest, when the war is over.","Return home at the earliest,
when the war is over."
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:57,509","00:01:58,874",l miss you very much.,l miss you very much.
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:01:59,711","00:02:03,272",''There has been no letter from you ever since you have left'',"''There has been no letter from you
ever since you have left''"
border-dvdrip-xvid-cd2,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Border.DVDrip.Xvid.cd2.srt,"00:02:03,615","00:02:04,547",''Are you angry with me?'',''Are you angry with me?''
