film_id,decade,file_path,start,end,text_clean,text_raw
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:27,906","00:04:29,056",Money!,Money!
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:30,039","00:04:32,839",Money! Money is coming in!,Money! Money is coming in!
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:32,891","00:04:35,235","Money is coming from the top, from the bottom!","Money is coming from the top,
from the bottom!"
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:35,260","00:04:36,827",Only money!,Only money!
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:37,570","00:04:39,029","The money is colour, the money is beauty!","The money is colour, the money is beauty!"
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:39,070","00:04:40,683",A man is nothing without money.,A man is nothing without money.
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:40,735","00:04:46,099","Money, all over the place. Money is raining.","Money, all over the place.
Money is raining."
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:47,939","00:04:51,186",Soft money! What a money!,Soft money! What a money!
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:51,223","00:04:53,070",Silky money! My money! So much money.,Silky money! My money! So much money.
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:53,095","00:04:55,499",- He is dreaming again. - Money!,"- He is dreaming again.
- Money!"
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:55,524","00:04:57,855",Why are you tearing the mattress? Come to your senses.,"Why are you tearing the mattress?
Come to your senses."
dil-1990-hindi-web-dl-1080p-amazon-avcx264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil (1990) Hindi.WEB.DL.1080p.Amazon.AVCx264.AAC.ESubs.BY Juleyano.srt,"00:04:57,890","00:05:00,088",- Sir! - What are you doing? Bring some water.,"- Sir!
- What are you doing? Bring some water."
