film_id,decade,file_path,start,end,text_clean,text_raw
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:00:41,909","00:00:42,967",What is love?,What is love?
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:00:43,044","00:00:46,013",Love? ...Love is life.,Love? ...Love is life.
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:00:46,080","00:00:48,014",Love? What is love?,Love? What is love?
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:00:48,082","00:00:52,178",Where does it happen? Why does it happen? And how does it happen?,"Where does it happen? Why does
it happen? And how does it happen?"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:00:52,253","00:00:57,156",l believe that God predetermined all our emotional relationships.,"l believe that God predetermined
all our emotional relationships."
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:00:57,224","00:00:58,987",But then HE left it to us to find each other.,"But then HE left it to
us to find each other."
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:00,061","00:01:02,120",HE made us all couples...,HE made us all couples...
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:02,196","00:01:05,222","''and for every one of us, there is a life companion.''","''and for every one of us,
there is a life companion.''"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:06,300","00:01:10,134",A soulmate? What nonsense! l don't believe in all this...,"A soulmate? What nonsense! l
don't believe in all this..."
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:10,204","00:01:15,267","''l'm absolutely sure that somewhere, someone was made for me...''","''l'm absolutely sure that somewhere,
someone was made for me...''"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:16,343","00:01:19,210",and that someday l shall certainly meet him.,"and that someday l
shall certainly meet him."
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:19,280","00:01:23,944","''Okay, but will someone please tell me how will l know who was made for me?''","''Okay, but will someone please tell me
how will l know who was made for me?''"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:24,018","00:01:28,045","''l mean, will she be wandering about with a placard with my name on it?''","''l mean, will she be wandering about
with a placard with my name on it?''"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:28,122","00:01:31,250","''When l see her, will there be a clap of thunder...''","''When l see her, will
there be a clap of thunder...''"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:31,325","00:01:34,055",and a flash of lightning? How will l recognise her?,"and a flash of lightning?
How will l recognise her?"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:34,128","00:01:38,121","''l don't know what others will do, but l will recognise him.''","''l don't know what others will do,
but l will recognise him.''"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:39,200","00:01:41,065",HE will speak to me...,HE will speak to me...
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:41,135","00:01:44,263","''HE will give me a sign, and my heart will realise that this is him.''","''HE will give me a sign, and my
heart will realise that this is him.''"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:45,339","00:01:48,103",What is all this? - This is love,"What is all this?
- This is love"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:01:49,176","00:01:50,234",Love!,Love!
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:02:01,322","00:02:04,086",''However far apart they may be...'',''However far apart they may be...''
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:02:04,158","00:02:08,094","''Their paths will meet, whatever happens,...''","''Their paths will meet,
whatever happens,...''"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:02:08,162","00:02:13,293",''When two people are made for each other'',"''When two people are
made for each other''"
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:02:14,368","00:02:17,098",''Made for each other'',''Made for each other''
dil-to-pagal-hai,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dil To Pagal Hai.srt,"00:02:27,181","00:02:32,380",The Heart ls Crazy,The Heart ls Crazy
