film_id,decade,file_path,start,end,text_clean,text_raw
dilwale-dulhania-le-jayenge-1995-eng,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dilwale Dulhania Le Jayenge (1995)_ENG.srt,"00:00:15,400","00:00:19,399",London. The greatest city in the world.,"London. The greatest
city in the world."
dilwale-dulhania-le-jayenge-1995-eng,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dilwale Dulhania Le Jayenge (1995)_ENG.srt,"00:00:20,983","00:00:23,357","For 22 years, l've lived here","For 22 years, l've lived here"
dilwale-dulhania-le-jayenge-1995-eng,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dilwale Dulhania Le Jayenge (1995)_ENG.srt,"00:00:23,900","00:00:26,357",Every morning l take a walk down this street,"Every morning l take a
walk down this street"
dilwale-dulhania-le-jayenge-1995-eng,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dilwale Dulhania Le Jayenge (1995)_ENG.srt,"00:00:26,441","00:00:29,565","Every morning, the street asks me my name..","Every morning, the
street asks me my name.."
dilwale-dulhania-le-jayenge-1995-eng,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dilwale Dulhania Le Jayenge (1995)_ENG.srt,"00:00:30,358","00:00:35,774",Chaudhary Baldev Singh? Who are you? Where are you from? Why are you here?,"Chaudhary Baldev Singh? Who are you?
Where are you from? Why are you here?"
dilwale-dulhania-le-jayenge-1995-eng,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dilwale Dulhania Le Jayenge (1995)_ENG.srt,"00:00:37,650","00:00:41,607",Do l have a reply? After half a lifetime spent here..,"Do l have a reply? After
half a lifetime spent here.."
dilwale-dulhania-le-jayenge-1995-eng,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dilwale Dulhania Le Jayenge (1995)_ENG.srt,"00:00:41,691","00:00:45,607",this land still remains alien to me; and l to it,"this land still remains
alien to me; and l to it"
dilwale-dulhania-le-jayenge-1995-eng,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dilwale Dulhania Le Jayenge (1995)_ENG.srt,"00:00:46,691","00:00:52,815",No one here knows me. None except these doves. Because they're like me,"No one here knows me. None except
these doves. Because they're like me"
dilwale-dulhania-le-jayenge-1995-eng,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dilwale Dulhania Le Jayenge (1995)_ENG.srt,"00:00:54,066","00:00:58,190",Neither do they belong to a country. Just drop down where you find food,"Neither do they belong to a country.
Just drop down where you find food"
dilwale-dulhania-le-jayenge-1995-eng,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Dilwale Dulhania Le Jayenge (1995)_ENG.srt,"00:00:58,233","00:01:00,107","Have your fill, then fly on","Have your fill, then fly on"
