film_id,decade,file_path,start,end,text_clean,text_raw
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:00:30,797","00:00:37,430","''These moments, these memories, l'll cherish for years to come''","''These moments, these memories,
l'll cherish for years to come''"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:00:38,338","00:00:45,039","''Should these seasons go away, l'll complain''","''Should these seasons go away,
l'll complain''"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:00:45,912","00:00:52,875",''l'll remember these moments for years to come'',"''l'll remember these moments
for years to come''"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:00:53,386","00:01:00,053","''lf these seasons go away, l'll complain''","''lf these seasons go away,
l'll complain''"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:17,711","00:01:20,475","Don't they suffer the heat, Daija?","Don't they suffer the heat, Daija?"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:21,581","00:01:24,675",Stop the car. -Why Daija?,"Stop the car.
-Why Daija?"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:28,621","00:01:30,145",What are you doing?,What are you doing?
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:31,224","00:01:34,853",Come. You also get down.,Come. You also get down.
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:36,363","00:01:37,830",Get down.,Get down.
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:39,432","00:01:43,129",But it's a desert! - Bow to this land.,"But it's a desert!
- Bow to this land."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:44,571","00:01:46,732",Bow? What for?,Bow? What for?
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:46,906","00:01:49,136",Because you're here for the first time.,"Because you're here
for the first time."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:49,743","00:01:51,370",This is the threshhold of your house.,"This is the threshhold
of your house."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:52,178","00:01:55,147",Won't just folding my hands do? The ground must be very hot.,"Won't just folding my hands do?
The ground must be very hot."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:01:56,249","00:01:58,945","Okay, okay, don't look like that.","Okay, okay, don't look like that."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:03,256","00:02:05,554","l said, bow to it.","l said, bow to it."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:15,135","00:02:18,468","Sit down, sit down. There is no escape from this.","Sit down, sit down. There is no escape
from this."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:23,543","00:02:25,443",You used to pine for this desert out there?,"You used to pine for this desert
out there?"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:25,912","00:02:27,880",This is not just a desert.,This is not just a desert.
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:28,114","00:02:31,515","Just look around, it's full of your family's legends","Just look around, it's full
of your family's legends"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:32,085","00:02:36,988","Legends don't have to bear the heat. Else, they'd get a sun-stroke too!","Legends don't have to bear the heat.
Else, they'd get a sun-stroke too!"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:37,924","00:02:39,221",Keep quiet.,Keep quiet.
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:40,093","00:02:45,190","Just see, they are sitting as though this desert is air-conditioned!","Just see, they are sitting as though
this desert is air-conditioned!"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:45,698","00:02:47,666",What stuff are these people made of?,"What stuff are these
people made of?"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:47,967","00:02:49,935",They are made out of the local soil.,"They are made out of
the local soil."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:50,236","00:02:53,603",They're as seasoned as the tree above them.,"They're as seasoned as
the tree above them."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:02:55,241","00:02:59,541","Papa migrated before l was born, else...","Papa migrated before
l was born, else..."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:04,417","00:03:07,215","When this sun seasons you too in a couple of days,...","When this sun seasons you too
in a couple of days,..."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:07,520","00:03:11,479",and when it narrates to you the unlimited legends of your ancestors...,"and when it narrates to you the
unlimited legends of your ancestors..."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:11,758","00:03:13,487",you too will be happy.,you too will be happy.
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:15,795","00:03:17,126","After signing the papers,...","After signing the papers,..."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:17,263","00:03:20,232",l'll catch the first flight to London.,"l'll catch the first flight
to London."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:20,767","00:03:22,735",As you command.,As you command.
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:23,336","00:03:26,499","Don't use that tone with me, please. l feel as though you're scolding me!","Don't use that tone with me, please.
l feel as though you're scolding me!"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:26,806","00:03:28,774",l am scolding you!,l am scolding you!
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:28,942","00:03:34,903","Okay, l'll do my work, bow to the land...","Okay, l'll do my work,
bow to the land..."
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:35,281","00:03:38,250","seek your permission, then go away. Happy?","seek your permission,
then go away. Happy?"
lamhe-1991-cd1-dvdrip-xvid-tmg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Lamhe.1991.CD1.DVDRip.XviD-TmG.srt,"00:03:39,752","00:03:41,720",Forget all that for now.,Forget all that for now.
