film_id,decade,file_path,start,end,text_clean,text_raw
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:04:30,726","00:04:33,388",It's amazing! Your birthday and your daughter's birthday...,"It's amazing! Your birthday and
your daughter's birthday..."
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:04:33,495","00:04:35,326",..fall on the same day.,..fall on the same day.
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:04:35,497","00:04:38,989",Yes. And we celebrate our birthdays together...,"Yes. And we celebrate
our birthdays together..."
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:04:39,034","00:04:41,502",..on the same day every year:,"..on the same day
every year:"
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:04:41,603","00:04:43,764",Where's Mrs. Sehgal?,Where's Mrs. Sehgal?
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:04:49,478","00:04:52,072",There are people who want to meet you.,"There are people
who want to meet you."
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:04:56,285","00:04:57,980",This is my brother.,This is my brother.
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:05:01,490","00:05:04,118","This is my nephew, Jai...","This is my nephew, Jai..."
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:05:05,761","00:05:07,592",And who's she?,And who's she?
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:05:12,034","00:05:13,695",Ah! Aarti...,Ah! Aarti...
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:06:28,143","00:06:31,635","Looking at your figure, it doesn't appear...","Looking at your figure,
it doesn't appear..."
raja-hindustani-1996-xvid-axis,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Raja.Hindustani.1996.XviD.AXiS.srt,"00:06:31,747","00:06:33,647",..that you're the mother of such a grown-up girll.,"..that you're the mother
of such a grown-up girll."
