film_id,decade,file_path,start,end,text_clean,text_raw
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:00:01,000","00:00:04,000",Downloaded From www.AllSubs.org,Downloaded From www.AllSubs.org
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:02:25,000","00:02:33,000",*Let's dance*,*Let's dance*
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:02:33,000","00:02:41,000",*Let's set off a storm together*,"*Let's set off
a storm together*"
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:02:41,000","00:02:46,000",*Dance with me and steal some color from the world*,"*Dance with me and steal
some color from the world*"
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:02:46,000","00:02:50,000",*Get colorful*,*Get colorful*
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:02:50,000","00:02:55,000",*Get colorful*,*Get colorful*
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:02:55,000","00:03:03,000",*Let's dance*,*Let's dance*
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:03:03,000","00:03:11,000",*Let's set off a storm together*,"*Let's set off
a storm together*"
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:03:11,000","00:03:15,000",*Dance with me and steal some color from the world*,"*Dance with me and steal
some color from the world*"
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:03:15,000","00:03:19,000",*Get colorful*,*Get colorful*
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:03:19,000","00:04:07,000",*So very colorful*,*So very colorful*
rangeela,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Rangeela.srt,"00:04:07,000","00:04:15,000",*There are so many faces... mine ought to be recognized*,"*There are so many faces...
mine ought to be recognized*"
