film_id,decade,file_path,start,end,text_clean,text_raw
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:00:37,771","00:00:41,229",Arvind,Arvind
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:00:41,775","00:00:46,735",Madubala,Madubala
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:00:47,280","00:00:51,239",Nazer,Nazer
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:00:51,785","00:00:56,245",Janakaraj,Janakaraj
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:00:56,790","00:01:00,749",Pankaj Kapur,Pankaj Kapur
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:02:05,859","00:02:09,818","Srinagar, Kashmir","Srinagar, Kashmir"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:03:48,461","00:03:50,429",Take whatever you can,Take whatever you can
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:03:50,964","00:03:52,932",We will flee from here,We will flee from here
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:05:10,043","00:05:11,510",All of you escape from here,All of you escape from here
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:05:13,546","00:05:15,514",I will manage them All of you retreat,"I will manage them
All of you retreat"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:06:14,107","00:06:18,567",Kashmir militant leader Wasim Khan arrested,"Kashmir militant leader
Wasim Khan arrested"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:06:23,116","00:06:26,085",Sundarapandiapuram Tirunelveli District,"<i>Sundarapandiapuram
Tirunelveli District</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:07:02,655","00:07:06,614",Small desire fluttering desire,"<i>Small desire
fluttering desire</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:07:08,294","00:07:12,253",Pearl like desire stored up desire,"<i>Pearl like desire
stored up desire</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:07:13,666","00:07:18,626",Desire to kiss the moon,<i>Desire to kiss the moon</i>
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:07:19,172","00:07:24,132",Desire planet earth to orbit around me,"<i>Desire planet earth
to orbit around me</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:07:24,677","00:07:29,137",Small desire fluttering desire,"<i>Small desire
fluttering desire</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:07:30,683","00:07:34,642",Pearl like desire stored up desire,"<i>Pearl like desire
stored up desire</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:07:36,189","00:07:41,149",Desire to kiss the moon,<i>Desire to kiss the moon</i>
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:07:41,694","00:07:46,154",Desire planet earth to orbit around me,"<i>Desire planet earth
to orbit around me</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:07:47,200","00:07:51,159",Small desire fluttering desire,"<i>Small desire
fluttering desire</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:08:22,235","00:08:26,695",Wish to become a jasmine flower,<i>Wish to become a jasmine flower</i>
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:08:28,241","00:08:32,200",Wish to garland the breeze,<i>Wish to garland the breeze</i>
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:08:33,746","00:08:37,705",Wish to touch the clouds,<i>Wish to touch the clouds</i>
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:08:39,252","00:08:43,712",Wish to leave all sorrows,<i>Wish to leave all sorrows</i>
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:08:44,757","00:08:49,217",Wish to tie the world in my flocks of hair,"<i>Wish to tie the world
in my flocks of hair</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:08:50,763","00:08:55,223",Small desire fluttering desire,"<i>Small desire
fluttering desire</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:08:56,269","00:09:00,729",Pearl like desire stored up desire,"<i>Pearl like desire
stored up desire</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:09:02,275","00:09:06,234",Desire to kiss the moon,<i>Desire to kiss the moon</i>
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:09:07,780","00:09:11,739",Desire planet earth to orbit around me,"<i>Desire planet earth
to orbit around me</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:09:13,286","00:09:17,245",Small desire fluttering desire,"<i>Small desire
fluttering desire</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:09:18,791","00:09:22,750",Pearl like desire stored up desire,"<i>Pearl like desire
stored up desire</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:10:16,349","00:10:20,308",Wish to dance in muddy field and plant seedlings,"<i>Wish to dance in
muddy field and plant seedlings</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:10:21,854","00:10:25,813",Wish to catch fish and release back to river,"<i>Wish to catch fish
and release back to river</i>"
roja-1992,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Roja[1992].srt,"00:10:27,360","00:10:32,320",Wish to wear the rainbow,<i>Wish to wear the rainbow</i>
